# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,PUMPUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-07-14T17:00:00+00:00Z
# t0_final_iso,2025-07-14T17:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,fdd23511f35ad30e
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-07-14T17:00:00+00:00Z,2025-07-14T18:00:00+00:00Z,0.001,0.00615,0.001,0.005326,4385452069.1,24905763.7876878,0,0,0
2025-07-14T18:00:00+00:00Z,2025-07-14T19:00:00+00:00Z,0.005326,0.0056,0.00524,0.005272,2572381305.5,13970871.1653999,0,0,0
2025-07-14T19:00:00+00:00Z,2025-07-14T20:00:00+00:00Z,0.005272,0.005439,0.005111,0.00532,1806012866.6,9572784.0009713,0,0,0
2025-07-14T20:00:00+00:00Z,2025-07-14T21:00:00+00:00Z,0.00532,0.005346,0.005069,0.005211,1756045106.8,9071320.3229522,0,0,0
2025-07-14T21:00:00+00:00Z,2025-07-14T22:00:00+00:00Z,0.005211,0.005559,0.005181,0.005505,1240076033.1,6706501.3848033,0,0,0
2025-07-14T22:00:00+00:00Z,2025-07-14T23:00:00+00:00Z,0.005505,0.005643,0.005435,0.005623,761586207.7,4208235.3800925,0,0,0
2025-07-14T23:00:00+00:00Z,2025-07-15T00:00:00+00:00Z,0.005623,0.0059,0.0056,0.005721,1033803354.3,5929958.5712218,0,0,0
2025-07-15T00:00:00+00:00Z,2025-07-15T01:00:00+00:00Z,0.005721,0.00598,0.005622,0.005716,724499527.0,4220351.0307129,0,0,0
2025-07-15T01:00:00+00:00Z,2025-07-15T02:00:00+00:00Z,0.005716,0.005912,0.005637,0.005797,697527560.8,4044549.2209312,0,0,0
2025-07-15T02:00:00+00:00Z,2025-07-15T03:00:00+00:00Z,0.005797,0.005847,0.005548,0.005666,1009562727.3,5730734.6823757,0,0,0
2025-07-15T03:00:00+00:00Z,2025-07-15T04:00:00+00:00Z,0.005666,0.0057,0.0055,0.005576,1066589987.8,5960367.0636327,0,0,0
2025-07-15T04:00:00+00:00Z,2025-07-15T05:00:00+00:00Z,0.005576,0.005848,0.005559,0.00584,583177616.3,3315941.6330536,0,0,0
2025-07-15T05:00:00+00:00Z,2025-07-15T06:00:00+00:00Z,0.00584,0.005967,0.005773,0.005936,940790796.8,5528413.7733163,0,0,0
2025-07-15T06:00:00+00:00Z,2025-07-15T07:00:00+00:00Z,0.005936,0.006162,0.005915,0.006056,1436321900.4,8664948.4495399,0,0,0
2025-07-15T07:00:00+00:00Z,2025-07-15T08:00:00+00:00Z,0.006056,0.006083,0.00575,0.00586,1048468844.1,6203196.3321516,0,0,0
2025-07-15T08:00:00+00:00Z,2025-07-15T09:00:00+00:00Z,0.00586,0.005863,0.005592,0.005621,1298855938.2,7437826.3251291,0,0,0
2025-07-15T09:00:00+00:00Z,2025-07-15T10:00:00+00:00Z,0.005621,0.005742,0.005536,0.005649,1063417367.2,6021393.8168013,0,0,0
2025-07-15T10:00:00+00:00Z,2025-07-15T11:00:00+00:00Z,0.005649,0.00573,0.005442,0.005478,895917382.9,5041782.7393309,0,0,0
2025-07-15T11:00:00+00:00Z,2025-07-15T12:00:00+00:00Z,0.005478,0.0055,0.005268,0.005476,1770058131.2,9544793.4701625,0,0,0
2025-07-15T12:00:00+00:00Z,2025-07-15T13:00:00+00:00Z,0.005476,0.005565,0.005362,0.005557,865187227.3,4735255.1847544,0,0,0
2025-07-15T13:00:00+00:00Z,2025-07-15T14:00:00+00:00Z,0.005557,0.005703,0.005508,0.005653,978778711.7,5474371.0305291,0,0,0
2025-07-15T14:00:00+00:00Z,2025-07-15T15:00:00+00:00Z,0.005653,0.005768,0.005471,0.005521,1129652126.9,6386246.8255117,0,0,0
2025-07-15T15:00:00+00:00Z,2025-07-15T16:00:00+00:00Z,0.005521,0.005741,0.005484,0.005674,718387135.5,4031059.100948,0,0,0
2025-07-15T16:00:00+00:00Z,2025-07-15T17:00:00+00:00Z,0.005674,0.005779,0.005611,0.005618,569605620.0,3244459.282961,0,0,0
2025-07-15T17:00:00+00:00Z,2025-07-15T18:00:00+00:00Z,0.005618,0.006113,0.005505,0.005996,3358408868.9,19800673.7081723,0,0,0
2025-07-15T18:00:00+00:00Z,2025-07-15T19:00:00+00:00Z,0.005996,0.006322,0.005889,0.006059,2726984006.7,16646581.1181765,0,0,0
2025-07-15T19:00:00+00:00Z,2025-07-15T20:00:00+00:00Z,0.006059,0.006341,0.00594,0.006005,1398830909.0,8583495.8051125,0,0,0
2025-07-15T20:00:00+00:00Z,2025-07-15T21:00:00+00:00Z,0.006005,0.00633,0.005942,0.0062,1419335365.9,8743489.7702011,0,0,0
2025-07-15T21:00:00+00:00Z,2025-07-15T22:00:00+00:00Z,0.0062,0.006525,0.006192,0.006434,1739832191.2,11095280.8631751,0,0,0
2025-07-15T22:00:00+00:00Z,2025-07-15T23:00:00+00:00Z,0.006434,0.006779,0.006332,0.00675,1337301217.3,8795637.7625986,0,0,0
2025-07-15T23:00:00+00:00Z,2025-07-16T00:00:00+00:00Z,0.00675,0.006882,0.00655,0.006786,1708394075.0,11560593.7915385,0,0,0
2025-07-16T00:00:00+00:00Z,2025-07-16T01:00:00+00:00Z,0.006786,0.006822,0.006557,0.006589,1150150926.4,7725952.5075894,0,0,0
2025-07-16T01:00:00+00:00Z,2025-07-16T02:00:00+00:00Z,0.006589,0.00662,0.006451,0.006532,1006729215.0,6581481.2992489,0,0,0
2025-07-16T02:00:00+00:00Z,2025-07-16T03:00:00+00:00Z,0.006532,0.006578,0.006358,0.006409,1143303835.4,7358254.1434136,0,0,0
2025-07-16T03:00:00+00:00Z,2025-07-16T04:00:00+00:00Z,0.006409,0.006505,0.0063,0.006482,936718957.7,5990229.4602017,0,0,0
2025-07-16T04:00:00+00:00Z,2025-07-16T05:00:00+00:00Z,0.006482,0.006571,0.006294,0.006566,1035345197.1,6674341.136147,0,0,0
2025-07-16T05:00:00+00:00Z,2025-07-16T06:00:00+00:00Z,0.006566,0.006691,0.006465,0.006488,1233822414.3,8095417.5873948,0,0,0
2025-07-16T06:00:00+00:00Z,2025-07-16T07:00:00+00:00Z,0.006488,0.006714,0.006421,0.006657,1067893073.9,7029252.0230451,0,0,0
2025-07-16T07:00:00+00:00Z,2025-07-16T08:00:00+00:00Z,0.006657,0.006777,0.00651,0.00651,1119230154.7,7429724.362142,0,0,0
2025-07-16T08:00:00+00:00Z,2025-07-16T09:00:00+00:00Z,0.00651,0.006849,0.00649,0.006765,1166763528.0,7782393.0897469,0,0,0
2025-07-16T09:00:00+00:00Z,2025-07-16T10:00:00+00:00Z,0.006765,0.006846,0.006606,0.006666,763249966.4,5119943.5034105,0,0,0
2025-07-16T10:00:00+00:00Z,2025-07-16T11:00:00+00:00Z,0.006666,0.006681,0.006521,0.006522,645344411.6,4261889.2813264,0,0,0
2025-07-16T11:00:00+00:00Z,2025-07-16T12:00:00+00:00Z,0.006522,0.006589,0.006326,0.006384,870702652.4,5588604.7384261,0,0,0
2025-07-16T12:00:00+00:00Z,2025-07-16T13:00:00+00:00Z,0.006384,0.006582,0.006313,0.006521,995551555.7,6438282.3900526,0,0,0
2025-07-16T13:00:00+00:00Z,2025-07-16T14:00:00+00:00Z,0.006521,0.006631,0.006388,0.006453,1066171972.3,6944048.3289028,0,0,0
2025-07-16T14:00:00+00:00Z,2025-07-16T15:00:00+00:00Z,0.006453,0.006501,0.006167,0.006341,1485624870.8,9371172.9254245,0,0,0
2025-07-16T15:00:00+00:00Z,2025-07-16T16:00:00+00:00Z,0.006341,0.006358,0.005991,0.006103,2128173778.5,13068055.3660359,0,0,0
