# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,RENDERUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-07-31T08:00:00+00:00Z
# t0_final_iso,2024-07-31T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,bdabc62f788ec98e
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-07-31T08:00:00+00:00Z,2024-07-31T09:00:00+00:00Z,4.0,6.315,4.0,5.9068,60617.72,356561.855086,0,0,0
2024-07-31T09:00:00+00:00Z,2024-07-31T10:00:00+00:00Z,5.9068,5.95,5.8299,5.9348,27220.78,160449.099813,0,0,0
2024-07-31T10:00:00+00:00Z,2024-07-31T11:00:00+00:00Z,5.9348,5.9395,5.863,5.8792,12461.59,73420.332069,0,0,0
2024-07-31T11:00:00+00:00Z,2024-07-31T12:00:00+00:00Z,5.8792,5.9181,5.8576,5.9147,12666.02,74602.954007,0,0,0
2024-07-31T12:00:00+00:00Z,2024-07-31T13:00:00+00:00Z,5.9147,5.9319,5.8369,5.9001,15604.42,92177.307033,0,0,0
2024-07-31T13:00:00+00:00Z,2024-07-31T14:00:00+00:00Z,5.9001,6.052,5.9001,5.9947,38092.7,228402.234888,0,0,0
2024-07-31T14:00:00+00:00Z,2024-07-31T15:00:00+00:00Z,5.9947,6.0563,5.8926,5.904,33163.9,198407.417023,0,0,0
2024-07-31T15:00:00+00:00Z,2024-07-31T16:00:00+00:00Z,5.904,5.9162,5.8663,5.8696,10979.12,64692.709554,0,0,0
2024-07-31T16:00:00+00:00Z,2024-07-31T17:00:00+00:00Z,5.8696,5.9807,5.8507,5.8968,17630.76,104330.028326,0,0,0
2024-07-31T17:00:00+00:00Z,2024-07-31T18:00:00+00:00Z,5.8968,5.969,5.8676,5.9436,13856.11,82119.410663,0,0,0
2024-07-31T18:00:00+00:00Z,2024-07-31T19:00:00+00:00Z,5.9436,5.9685,5.8654,5.947,19614.43,115935.679969,0,0,0
2024-07-31T19:00:00+00:00Z,2024-07-31T20:00:00+00:00Z,5.947,5.9803,5.7636,5.8026,26308.22,154056.793419,0,0,0
2024-07-31T20:00:00+00:00Z,2024-07-31T21:00:00+00:00Z,5.8026,5.8173,5.6935,5.7112,20917.91,119938.102388,0,0,0
2024-07-31T21:00:00+00:00Z,2024-07-31T22:00:00+00:00Z,5.7112,5.7933,5.7002,5.7738,22606.88,129757.766447,0,0,0
2024-07-31T22:00:00+00:00Z,2024-07-31T23:00:00+00:00Z,5.7738,5.7738,5.7,5.7602,11667.36,66915.144188,0,0,0
2024-07-31T23:00:00+00:00Z,2024-08-01T00:00:00+00:00Z,5.7602,5.7745,5.7285,5.7358,12648.25,72773.684751,0,0,0
2024-08-01T00:00:00+00:00Z,2024-08-01T01:00:00+00:00Z,5.7358,5.8831,5.7358,5.8687,11342.97,65919.680947,0,0,0
2024-08-01T01:00:00+00:00Z,2024-08-01T02:00:00+00:00Z,5.8687,5.8911,5.7,5.8234,18741.68,108984.904477,0,0,0
2024-08-01T02:00:00+00:00Z,2024-08-01T03:00:00+00:00Z,5.8234,5.8298,5.7413,5.7741,11807.59,68223.441709,0,0,0
2024-08-01T03:00:00+00:00Z,2024-08-01T04:00:00+00:00Z,5.7741,5.7741,5.7,5.7089,16571.78,94936.840049,0,0,0
2024-08-01T04:00:00+00:00Z,2024-08-01T05:00:00+00:00Z,5.7089,5.719,5.5231,5.5411,34602.58,194192.269484,0,0,0
2024-08-01T05:00:00+00:00Z,2024-08-01T06:00:00+00:00Z,5.5411,5.7122,5.511,5.7013,13741.13,77140.938388,0,0,0
2024-08-01T06:00:00+00:00Z,2024-08-01T07:00:00+00:00Z,5.7013,5.7587,5.6065,5.6376,22187.02,126428.003399,0,0,0
2024-08-01T07:00:00+00:00Z,2024-08-01T08:00:00+00:00Z,5.6376,5.6384,5.5462,5.5571,13446.26,75184.32201,0,0,0
2024-08-01T08:00:00+00:00Z,2024-08-01T09:00:00+00:00Z,5.5571,5.6494,5.5571,5.638,21494.48,120658.389358,0,0,0
2024-08-01T09:00:00+00:00Z,2024-08-01T10:00:00+00:00Z,5.638,5.7007,5.571,5.5869,15900.93,89771.167053,0,0,0
2024-08-01T10:00:00+00:00Z,2024-08-01T11:00:00+00:00Z,5.5869,5.6031,5.5575,5.6022,12669.42,70726.844337,0,0,0
2024-08-01T11:00:00+00:00Z,2024-08-01T12:00:00+00:00Z,5.6022,5.6213,5.493,5.4956,20236.84,112299.782878,0,0,0
2024-08-01T12:00:00+00:00Z,2024-08-01T13:00:00+00:00Z,5.4956,5.6441,5.4944,5.6076,22590.81,126120.875236,0,0,0
2024-08-01T13:00:00+00:00Z,2024-08-01T14:00:00+00:00Z,5.6076,5.6416,5.4919,5.6052,28109.32,156590.855769,0,0,0
2024-08-01T14:00:00+00:00Z,2024-08-01T15:00:00+00:00Z,5.6052,5.609,5.2785,5.2847,52211.96,282612.395452,0,0,0
2024-08-01T15:00:00+00:00Z,2024-08-01T16:00:00+00:00Z,5.2847,5.29,5.157,5.1888,60716.48,316734.019128,0,0,0
2024-08-01T16:00:00+00:00Z,2024-08-01T17:00:00+00:00Z,5.1888,5.223,5.113,5.1808,32379.49,167214.698963,0,0,0
2024-08-01T17:00:00+00:00Z,2024-08-01T18:00:00+00:00Z,5.1808,5.349,5.1592,5.3431,28970.72,151209.239426,0,0,0
2024-08-01T18:00:00+00:00Z,2024-08-01T19:00:00+00:00Z,5.3431,5.4941,5.2651,5.3688,83878.83,449183.925459,0,0,0
2024-08-01T19:00:00+00:00Z,2024-08-01T20:00:00+00:00Z,5.3688,5.4094,5.29,5.313,15834.48,84822.337712,0,0,0
2024-08-01T20:00:00+00:00Z,2024-08-01T21:00:00+00:00Z,5.313,5.4919,5.2557,5.4919,28991.04,155391.207192,0,0,0
2024-08-01T21:00:00+00:00Z,2024-08-01T22:00:00+00:00Z,5.4919,5.5775,5.4345,5.4875,26039.65,143135.426121,0,0,0
2024-08-01T22:00:00+00:00Z,2024-08-01T23:00:00+00:00Z,5.4875,5.6212,5.4765,5.5943,17600.8,97908.225691,0,0,0
2024-08-01T23:00:00+00:00Z,2024-08-02T00:00:00+00:00Z,5.5943,5.6941,5.5719,5.6032,29357.17,165465.695156,0,0,0
2024-08-02T00:00:00+00:00Z,2024-08-02T01:00:00+00:00Z,5.6032,5.6451,5.5081,5.5081,16081.38,89870.668069,0,0,0
2024-08-02T01:00:00+00:00Z,2024-08-02T02:00:00+00:00Z,5.5081,5.5081,5.3957,5.4235,9673.04,52684.696345,0,0,0
