# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ROAMUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-03-06T10:00:00+00:00Z
# t0_final_iso,2025-03-06T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,e3a0a4a5b2bc467e
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-03-06T10:00:00+00:00Z,2025-03-06T11:00:00+00:00Z,0.05,1.0433,0.05,0.4681,21324992.94,9444199.868074,0,0,0
2025-03-06T11:00:00+00:00Z,2025-03-06T12:00:00+00:00Z,0.4681,0.55,0.3,0.356,13569249.27,5575877.045548,0,0,0
2025-03-06T12:00:00+00:00Z,2025-03-06T13:00:00+00:00Z,0.356,0.4,0.3189,0.3752,7591490.24,2788698.17749,0,0,0
2025-03-06T13:00:00+00:00Z,2025-03-06T14:00:00+00:00Z,0.3752,0.3964,0.34,0.3526,6216844.95,2275099.333151,0,0,0
2025-03-06T14:00:00+00:00Z,2025-03-06T15:00:00+00:00Z,0.3526,0.368,0.3073,0.321,5980783.25,2075024.208696,0,0,0
2025-03-06T15:00:00+00:00Z,2025-03-06T16:00:00+00:00Z,0.321,0.375,0.316,0.3625,5638817.05,1932281.352185,0,0,0
2025-03-06T16:00:00+00:00Z,2025-03-06T17:00:00+00:00Z,0.3625,0.3654,0.332,0.3544,4746947.51,1657893.409906,0,0,0
2025-03-06T17:00:00+00:00Z,2025-03-06T18:00:00+00:00Z,0.3544,0.4137,0.3544,0.3971,5133550.86,1935317.352541,0,0,0
2025-03-06T18:00:00+00:00Z,2025-03-06T19:00:00+00:00Z,0.3971,0.425,0.3746,0.3862,3141414.84,1248875.110086,0,0,0
2025-03-06T19:00:00+00:00Z,2025-03-06T20:00:00+00:00Z,0.3862,0.4027,0.3701,0.3985,1887879.1,726906.251079,0,0,0
