# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,SAROSUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-01-19T11:00:00+00:00Z
# t0_final_iso,2024-01-19T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,3acb512b1017404b
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-01-19T11:00:00+00:00Z,2024-01-19T12:00:00+00:00Z,0.001,0.05,0.001,0.020499,271151504.28,5535009.18789438,0,0,0
2024-01-19T12:00:00+00:00Z,2024-01-19T13:00:00+00:00Z,0.020499,0.022,0.0189,0.020462,39984032.57,825224.40865483,0,0,0
2024-01-19T13:00:00+00:00Z,2024-01-19T14:00:00+00:00Z,0.020462,0.021199,0.0183,0.018497,27164672.39,524109.14746224,0,0,0
2024-01-19T14:00:00+00:00Z,2024-01-19T15:00:00+00:00Z,0.018497,0.019721,0.0182,0.018585,10679632.24,199993.71879024,0,0,0
2024-01-19T15:00:00+00:00Z,2024-01-19T16:00:00+00:00Z,0.018585,0.018781,0.0176,0.018604,11763751.45,212670.99775989,0,0,0
2024-01-19T16:00:00+00:00Z,2024-01-19T17:00:00+00:00Z,0.018604,0.018777,0.0166,0.0167,11669167.3,205895.3601795,0,0,0
2024-01-19T17:00:00+00:00Z,2024-01-19T18:00:00+00:00Z,0.0167,0.017488,0.0153,0.016899,8760963.66,143895.64785544,0,0,0
2024-01-19T18:00:00+00:00Z,2024-01-19T19:00:00+00:00Z,0.016899,0.017184,0.015168,0.016273,10613123.74,169771.07097114,0,0,0
2024-01-19T19:00:00+00:00Z,2024-01-19T20:00:00+00:00Z,0.016273,0.017511,0.015486,0.01584,10389657.97,171474.59688083,0,0,0
2024-01-19T20:00:00+00:00Z,2024-01-19T21:00:00+00:00Z,0.01584,0.016447,0.015136,0.015209,6425120.53,100468.31165393,0,0,0
2024-01-19T21:00:00+00:00Z,2024-01-19T22:00:00+00:00Z,0.015209,0.017,0.015167,0.01665,7160944.54,115465.64272659,0,0,0
2024-01-19T22:00:00+00:00Z,2024-01-19T23:00:00+00:00Z,0.01665,0.01683,0.015201,0.0158,6468226.57,102433.71558862,0,0,0
2024-01-19T23:00:00+00:00Z,2024-01-20T00:00:00+00:00Z,0.0158,0.016487,0.015704,0.015956,2696201.39,43057.42036401,0,0,0
2024-01-20T00:00:00+00:00Z,2024-01-20T01:00:00+00:00Z,0.015956,0.016204,0.01535,0.015759,2389908.3,37851.47698912,0,0,0
2024-01-20T01:00:00+00:00Z,2024-01-20T02:00:00+00:00Z,0.015759,0.01576,0.015,0.015146,2526175.06,38415.30985793,0,0,0
2024-01-20T02:00:00+00:00Z,2024-01-20T03:00:00+00:00Z,0.015146,0.015146,0.013,0.014634,5182670.22,73037.33830426,0,0,0
2024-01-20T03:00:00+00:00Z,2024-01-20T04:00:00+00:00Z,0.014634,0.015522,0.01408,0.015137,2384688.02,35054.46064119,0,0,0
2024-01-20T04:00:00+00:00Z,2024-01-20T05:00:00+00:00Z,0.015137,0.016302,0.01508,0.016284,2958835.24,46909.39344604,0,0,0
2024-01-20T05:00:00+00:00Z,2024-01-20T06:00:00+00:00Z,0.016284,0.017574,0.015836,0.015899,4717535.56,78237.03528547,0,0,0
2024-01-20T06:00:00+00:00Z,2024-01-20T07:00:00+00:00Z,0.015899,0.016821,0.01565,0.016406,3564118.39,57359.491444,0,0,0
2024-01-20T07:00:00+00:00Z,2024-01-20T08:00:00+00:00Z,0.016406,0.016629,0.01452,0.01496,8542821.72,132202.85995126,0,0,0
