# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,SCAUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-03-08T10:00:00+00:00Z
# t0_final_iso,2024-03-08T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,5136bd3e1ee9c356
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-03-08T10:00:00+00:00Z,2024-03-08T11:00:00+00:00Z,0.12,1.7163,0.12,0.8828,4589306.5,5787943.911962,0,0,0
2024-03-08T11:00:00+00:00Z,2024-03-08T12:00:00+00:00Z,0.8828,1.17,0.8828,1.1583,1307139.17,1337883.066801,0,0,0
2024-03-08T12:00:00+00:00Z,2024-03-08T13:00:00+00:00Z,1.1583,1.1688,1.0555,1.0754,853779.66,945083.767729,0,0,0
2024-03-08T13:00:00+00:00Z,2024-03-08T14:00:00+00:00Z,1.0754,1.1,1.0105,1.074,454156.15,482697.616781,0,0,0
2024-03-08T14:00:00+00:00Z,2024-03-08T15:00:00+00:00Z,1.074,1.0763,0.9935,1.0164,290149.81,299228.993278,0,0,0
2024-03-08T15:00:00+00:00Z,2024-03-08T16:00:00+00:00Z,1.0164,1.09,0.9939,1.0078,317042.53,330208.524819,0,0,0
2024-03-08T16:00:00+00:00Z,2024-03-08T17:00:00+00:00Z,1.0078,1.069,0.9815,1.0246,261882.32,266773.042803,0,0,0
2024-03-08T17:00:00+00:00Z,2024-03-08T18:00:00+00:00Z,1.0246,1.0417,0.9723,1.0138,159346.7,160835.803235,0,0,0
2024-03-08T18:00:00+00:00Z,2024-03-08T19:00:00+00:00Z,1.0138,1.0399,1.01,1.0398,125828.21,128813.964481,0,0,0
2024-03-08T19:00:00+00:00Z,2024-03-08T20:00:00+00:00Z,1.0398,1.104,1.0377,1.0998,173586.81,187075.569519,0,0,0
2024-03-08T20:00:00+00:00Z,2024-03-08T21:00:00+00:00Z,1.0998,1.1299,1.02,1.0738,152005.97,162703.043813,0,0,0
2024-03-08T21:00:00+00:00Z,2024-03-08T22:00:00+00:00Z,1.0738,1.128,1.0703,1.0887,103103.66,113388.547878,0,0,0
2024-03-08T22:00:00+00:00Z,2024-03-08T23:00:00+00:00Z,1.0887,1.15,1.083,1.1485,107149.88,120921.219929,0,0,0
2024-03-08T23:00:00+00:00Z,2024-03-09T00:00:00+00:00Z,1.1485,1.1485,1.0403,1.0587,139948.76,152194.678312,0,0,0
2024-03-09T00:00:00+00:00Z,2024-03-09T01:00:00+00:00Z,1.0587,1.1301,1.0584,1.1217,86544.22,94554.515099,0,0,0
2024-03-09T01:00:00+00:00Z,2024-03-09T02:00:00+00:00Z,1.1217,1.1301,1.0792,1.0971,65106.06,71548.609035,0,0,0
2024-03-09T02:00:00+00:00Z,2024-03-09T03:00:00+00:00Z,1.0971,1.1012,1.06,1.0865,70755.85,77179.403193,0,0,0
2024-03-09T03:00:00+00:00Z,2024-03-09T04:00:00+00:00Z,1.0865,1.1363,1.0814,1.1167,71806.44,79238.366377,0,0,0
2024-03-09T04:00:00+00:00Z,2024-03-09T05:00:00+00:00Z,1.1167,1.154,1.1,1.1488,79579.63,90013.407036,0,0,0
2024-03-09T05:00:00+00:00Z,2024-03-09T06:00:00+00:00Z,1.1488,1.289,1.13,1.2734,228376.38,276444.749231,0,0,0
2024-03-09T06:00:00+00:00Z,2024-03-09T07:00:00+00:00Z,1.2734,1.45,1.2115,1.3777,484564.24,658707.062251,0,0,0
2024-03-09T07:00:00+00:00Z,2024-03-09T08:00:00+00:00Z,1.3777,1.49,1.3132,1.4197,374356.58,525424.308362,0,0,0
2024-03-09T08:00:00+00:00Z,2024-03-09T09:00:00+00:00Z,1.4197,1.49,1.3803,1.4869,234548.45,336881.434083,0,0,0
2024-03-09T09:00:00+00:00Z,2024-03-09T10:00:00+00:00Z,1.4869,1.49,1.372,1.4051,275661.94,392516.274849,0,0,0
2024-03-09T10:00:00+00:00Z,2024-03-09T11:00:00+00:00Z,1.4051,1.41,1.276,1.3272,234630.9,315430.843869,0,0,0
2024-03-09T11:00:00+00:00Z,2024-03-09T12:00:00+00:00Z,1.3272,1.38,1.2928,1.3211,161724.09,216386.497905,0,0,0
2024-03-09T12:00:00+00:00Z,2024-03-09T13:00:00+00:00Z,1.3211,1.385,1.3096,1.3483,88391.87,119317.759954,0,0,0
2024-03-09T13:00:00+00:00Z,2024-03-09T14:00:00+00:00Z,1.3483,1.36,1.2571,1.275,161581.53,213241.262749,0,0,0
