# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,SCRUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-10-22T08:00:00+00:00Z
# t0_final_iso,2024-10-22T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,dda682a6ca17d896
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-10-22T08:00:00+00:00Z,2024-10-22T09:00:00+00:00Z,0.3,1.504,0.3,1.3074,2299682.8,3024026.77201,0,0,0
2024-10-22T09:00:00+00:00Z,2024-10-22T10:00:00+00:00Z,1.3074,1.3134,1.1874,1.2523,2265308.2,2852877.76012,0,0,0
2024-10-22T10:00:00+00:00Z,2024-10-22T11:00:00+00:00Z,1.2523,1.2889,1.2122,1.2509,1157952.7,1452824.75399,0,0,0
2024-10-22T11:00:00+00:00Z,2024-10-22T12:00:00+00:00Z,1.2509,1.2676,1.2158,1.2181,625092.2,770900.33952,0,0,0
2024-10-22T12:00:00+00:00Z,2024-10-22T13:00:00+00:00Z,1.2181,1.2181,1.1055,1.1449,1480457.1,1716569.05784,0,0,0
2024-10-22T13:00:00+00:00Z,2024-10-22T14:00:00+00:00Z,1.1449,1.1774,1.1209,1.1478,584614.6,670989.68983,0,0,0
2024-10-22T14:00:00+00:00Z,2024-10-22T15:00:00+00:00Z,1.1478,1.1952,1.1317,1.1395,745032.2,868374.71364,0,0,0
2024-10-22T15:00:00+00:00Z,2024-10-22T16:00:00+00:00Z,1.1395,1.2,1.1099,1.1625,1268652.4,1465206.86993,0,0,0
2024-10-22T16:00:00+00:00Z,2024-10-22T17:00:00+00:00Z,1.1625,1.1922,1.1541,1.1824,679513.6,798006.15253,0,0,0
2024-10-22T17:00:00+00:00Z,2024-10-22T18:00:00+00:00Z,1.1824,1.234,1.1651,1.1835,763513.9,917492.81907,0,0,0
2024-10-22T18:00:00+00:00Z,2024-10-22T19:00:00+00:00Z,1.1835,1.2436,1.1808,1.2211,614008.1,749089.36376,0,0,0
2024-10-22T19:00:00+00:00Z,2024-10-22T20:00:00+00:00Z,1.2211,1.2254,1.198,1.212,358397.2,433306.61883,0,0,0
2024-10-22T20:00:00+00:00Z,2024-10-22T21:00:00+00:00Z,1.212,1.2163,1.174,1.1835,362334.4,430297.26975,0,0,0
2024-10-22T21:00:00+00:00Z,2024-10-22T22:00:00+00:00Z,1.1835,1.1874,1.1596,1.1722,233736.5,274055.9836,0,0,0
2024-10-22T22:00:00+00:00Z,2024-10-22T23:00:00+00:00Z,1.1722,1.1791,1.1366,1.1424,303040.5,349721.03722,0,0,0
2024-10-22T23:00:00+00:00Z,2024-10-23T00:00:00+00:00Z,1.1424,1.1642,1.1385,1.1597,164648.6,189327.31812,0,0,0
2024-10-23T00:00:00+00:00Z,2024-10-23T01:00:00+00:00Z,1.1597,1.1769,1.1476,1.1602,354630.8,412642.06634,0,0,0
2024-10-23T01:00:00+00:00Z,2024-10-23T02:00:00+00:00Z,1.1602,1.2134,1.0472,1.1159,921690.7,1037455.07818,0,0,0
2024-10-23T02:00:00+00:00Z,2024-10-23T03:00:00+00:00Z,1.1159,1.1286,1.0586,1.0799,1037145.6,1130766.25488,0,0,0
2024-10-23T03:00:00+00:00Z,2024-10-23T04:00:00+00:00Z,1.0799,1.1121,1.0652,1.0932,791448.2,860084.34777,0,0,0
2024-10-23T04:00:00+00:00Z,2024-10-23T05:00:00+00:00Z,1.0932,1.1003,1.0718,1.0887,445774.6,483930.10675,0,0,0
2024-10-23T05:00:00+00:00Z,2024-10-23T06:00:00+00:00Z,1.0887,1.104,1.067,1.0735,385900.5,417797.38803,0,0,0
2024-10-23T06:00:00+00:00Z,2024-10-23T07:00:00+00:00Z,1.0735,1.0799,1.0341,1.0496,1051772.2,1115373.51614,0,0,0
2024-10-23T07:00:00+00:00Z,2024-10-23T08:00:00+00:00Z,1.0496,1.0579,0.9929,1.0138,1326402.0,1356490.73112,0,0,0
2024-10-23T08:00:00+00:00Z,2024-10-23T09:00:00+00:00Z,1.0138,1.052,1.0134,1.0192,649962.1,671002.69302,0,0,0
2024-10-23T09:00:00+00:00Z,2024-10-23T10:00:00+00:00Z,1.0192,1.0561,1.0169,1.0311,454320.2,470184.96561,0,0,0
2024-10-23T10:00:00+00:00Z,2024-10-23T11:00:00+00:00Z,1.0311,1.0398,1.0114,1.0231,264748.1,271419.01157,0,0,0
2024-10-23T11:00:00+00:00Z,2024-10-23T12:00:00+00:00Z,1.0231,1.049,1.0143,1.0475,377604.8,388838.23483,0,0,0
2024-10-23T12:00:00+00:00Z,2024-10-23T13:00:00+00:00Z,1.0475,1.0507,1.0307,1.0329,298476.2,310448.60841,0,0,0
2024-10-23T13:00:00+00:00Z,2024-10-23T14:00:00+00:00Z,1.0329,1.0458,0.9065,0.9641,874880.8,860562.20765,0,0,0
2024-10-23T14:00:00+00:00Z,2024-10-23T15:00:00+00:00Z,0.9641,0.9697,0.9127,0.9467,1596494.5,1506973.52602,0,0,0
2024-10-23T15:00:00+00:00Z,2024-10-23T16:00:00+00:00Z,0.9467,0.9467,0.8589,0.8988,1812006.6,1626796.31078,0,0,0
2024-10-23T16:00:00+00:00Z,2024-10-23T17:00:00+00:00Z,0.8988,0.9082,0.8684,0.8901,530175.0,474443.31713,0,0,0
2024-10-23T17:00:00+00:00Z,2024-10-23T18:00:00+00:00Z,0.8901,0.9247,0.882,0.8923,570361.9,515054.65391,0,0,0
2024-10-23T18:00:00+00:00Z,2024-10-23T19:00:00+00:00Z,0.8923,0.9327,0.884,0.9191,370238.4,334276.95602,0,0,0
2024-10-23T19:00:00+00:00Z,2024-10-23T20:00:00+00:00Z,0.9191,0.9391,0.9046,0.9201,366220.0,337410.57885,0,0,0
2024-10-23T20:00:00+00:00Z,2024-10-23T21:00:00+00:00Z,0.9201,0.9533,0.9197,0.9304,400880.5,373660.34768,0,0,0
2024-10-23T21:00:00+00:00Z,2024-10-23T22:00:00+00:00Z,0.9304,0.9333,0.9154,0.9187,123550.1,114162.06264,0,0,0
2024-10-23T22:00:00+00:00Z,2024-10-23T23:00:00+00:00Z,0.9187,0.932,0.9059,0.9083,256606.1,234694.96008,0,0,0
2024-10-23T23:00:00+00:00Z,2024-10-24T00:00:00+00:00Z,0.9083,0.9484,0.9056,0.9415,140657.0,130615.87297,0,0,0
2024-10-24T00:00:00+00:00Z,2024-10-24T01:00:00+00:00Z,0.9415,0.9534,0.918,0.9243,287312.0,269355.9684,0,0,0
2024-10-24T01:00:00+00:00Z,2024-10-24T02:00:00+00:00Z,0.9243,0.9455,0.9168,0.9257,134804.4,125723.03332,0,0,0
2024-10-24T02:00:00+00:00Z,2024-10-24T03:00:00+00:00Z,0.9257,0.9365,0.9137,0.9317,189806.6,175995.00607,0,0,0
2024-10-24T03:00:00+00:00Z,2024-10-24T04:00:00+00:00Z,0.9317,0.9471,0.9266,0.944,184123.0,172560.76516,0,0,0
2024-10-24T04:00:00+00:00Z,2024-10-24T05:00:00+00:00Z,0.944,0.9656,0.9328,0.951,299877.8,285527.63232,0,0,0
2024-10-24T05:00:00+00:00Z,2024-10-24T06:00:00+00:00Z,0.951,0.9541,0.9309,0.9377,136454.3,128564.05554,0,0,0
2024-10-24T06:00:00+00:00Z,2024-10-24T07:00:00+00:00Z,0.9377,0.9467,0.9234,0.9322,167771.3,156544.43545,0,0,0
2024-10-24T07:00:00+00:00Z,2024-10-24T08:00:00+00:00Z,0.9322,0.9365,0.892,0.9079,234528.3,215224.38905,0,0,0
2024-10-24T08:00:00+00:00Z,2024-10-24T09:00:00+00:00Z,0.9079,0.917,0.8975,0.8997,217010.2,197019.93346,0,0,0
2024-10-24T09:00:00+00:00Z,2024-10-24T10:00:00+00:00Z,0.8997,0.9118,0.8934,0.9094,155392.5,140225.39708,0,0,0
2024-10-24T10:00:00+00:00Z,2024-10-24T11:00:00+00:00Z,0.9094,0.9237,0.9047,0.9076,178250.9,163017.92581,0,0,0
2024-10-24T11:00:00+00:00Z,2024-10-24T12:00:00+00:00Z,0.9076,0.91,0.8965,0.8984,118413.6,106978.81273,0,0,0
2024-10-24T12:00:00+00:00Z,2024-10-24T13:00:00+00:00Z,0.8984,0.9441,0.8969,0.932,328513.7,304983.06481,0,0,0
2024-10-24T13:00:00+00:00Z,2024-10-24T14:00:00+00:00Z,0.932,0.9473,0.923,0.9314,247289.6,231391.09452,0,0,0
2024-10-24T14:00:00+00:00Z,2024-10-24T15:00:00+00:00Z,0.9314,0.9433,0.922,0.9311,187849.3,174949.72603,0,0,0
2024-10-24T15:00:00+00:00Z,2024-10-24T16:00:00+00:00Z,0.9311,0.9558,0.9264,0.928,133837.8,125901.66496,0,0,0
2024-10-24T16:00:00+00:00Z,2024-10-24T17:00:00+00:00Z,0.928,0.9348,0.9159,0.9174,123053.0,113800.62761,0,0,0
2024-10-24T17:00:00+00:00Z,2024-10-24T18:00:00+00:00Z,0.9174,0.9268,0.912,0.9237,153294.8,140757.91205,0,0,0
2024-10-24T18:00:00+00:00Z,2024-10-24T19:00:00+00:00Z,0.9237,0.9262,0.9068,0.9096,147659.8,135181.98666,0,0,0
2024-10-24T19:00:00+00:00Z,2024-10-24T20:00:00+00:00Z,0.9096,0.9186,0.9043,0.915,82796.5,75512.04752,0,0,0
2024-10-24T20:00:00+00:00Z,2024-10-24T21:00:00+00:00Z,0.915,0.9153,0.898,0.9134,147201.5,133501.15505,0,0,0
2024-10-24T21:00:00+00:00Z,2024-10-24T22:00:00+00:00Z,0.9134,0.9455,0.9074,0.9352,229323.6,213685.61317,0,0,0
2024-10-24T22:00:00+00:00Z,2024-10-24T23:00:00+00:00Z,0.9352,0.944,0.9286,0.9339,151015.1,141127.13889,0,0,0
2024-10-24T23:00:00+00:00Z,2024-10-25T00:00:00+00:00Z,0.9339,0.938,0.9289,0.9326,68883.8,64266.48058,0,0,0
2024-10-25T00:00:00+00:00Z,2024-10-25T01:00:00+00:00Z,0.9326,0.9367,0.919,0.9219,95941.4,88928.39498,0,0,0
2024-10-25T01:00:00+00:00Z,2024-10-25T02:00:00+00:00Z,0.9219,0.925,0.9109,0.9152,77338.3,70819.78957,0,0,0
2024-10-25T02:00:00+00:00Z,2024-10-25T03:00:00+00:00Z,0.9152,0.9161,0.901,0.9052,104793.8,95004.92405,0,0,0
2024-10-25T03:00:00+00:00Z,2024-10-25T04:00:00+00:00Z,0.9052,0.9133,0.9015,0.9027,67892.8,61534.24031,0,0,0
2024-10-25T04:00:00+00:00Z,2024-10-25T05:00:00+00:00Z,0.9027,0.9046,0.8676,0.8718,243942.1,214991.11474,0,0,0
2024-10-25T05:00:00+00:00Z,2024-10-25T06:00:00+00:00Z,0.8718,0.8825,0.862,0.8789,232502.8,202570.17273,0,0,0
2024-10-25T06:00:00+00:00Z,2024-10-25T07:00:00+00:00Z,0.8789,0.8921,0.865,0.8878,226164.6,198176.9145,0,0,0
2024-10-25T07:00:00+00:00Z,2024-10-25T08:00:00+00:00Z,0.8878,0.9163,0.8627,0.87,431971.0,382894.94226,0,0,0
2024-10-25T08:00:00+00:00Z,2024-10-25T09:00:00+00:00Z,0.87,0.8724,0.8286,0.8567,574683.0,486961.22471,0,0,0
2024-10-25T09:00:00+00:00Z,2024-10-25T10:00:00+00:00Z,0.8567,0.8752,0.8508,0.8689,295020.3,253728.04696,0,0,0
2024-10-25T10:00:00+00:00Z,2024-10-25T11:00:00+00:00Z,0.8689,0.8721,0.8626,0.866,389902.2,338361.92135,0,0,0
2024-10-25T11:00:00+00:00Z,2024-10-25T12:00:00+00:00Z,0.866,0.8675,0.8551,0.8646,296641.0,255555.16219,0,0,0
2024-10-25T12:00:00+00:00Z,2024-10-25T13:00:00+00:00Z,0.8646,0.8753,0.8614,0.8649,131289.5,113778.75123,0,0,0
