# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,SKATEUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-06-09T10:00:00+00:00Z
# t0_final_iso,2025-06-09T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,bf8d796628945de1
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-06-09T10:00:00+00:00Z,2025-06-09T11:00:00+00:00Z,0.04,0.15,0.04,0.06637,36767025.5,2941575.234334,0,0,0
2025-06-09T11:00:00+00:00Z,2025-06-09T12:00:00+00:00Z,0.06637,0.072,0.06412,0.06641,13109046.6,890495.210693,0,0,0
2025-06-09T12:00:00+00:00Z,2025-06-09T13:00:00+00:00Z,0.06641,0.06643,0.06082,0.06304,12006207.2,763158.715494,0,0,0
2025-06-09T13:00:00+00:00Z,2025-06-09T14:00:00+00:00Z,0.06304,0.06514,0.06012,0.06155,8163692.7,511829.657669,0,0,0
2025-06-09T14:00:00+00:00Z,2025-06-09T15:00:00+00:00Z,0.06155,0.06268,0.05949,0.06078,6378845.6,389294.983868,0,0,0
2025-06-09T15:00:00+00:00Z,2025-06-09T16:00:00+00:00Z,0.06078,0.06248,0.05988,0.06099,4683236.1,286887.062029,0,0,0
2025-06-09T16:00:00+00:00Z,2025-06-09T17:00:00+00:00Z,0.06099,0.06571,0.0607,0.06305,8510062.6,541614.876936,0,0,0
2025-06-09T17:00:00+00:00Z,2025-06-09T18:00:00+00:00Z,0.06305,0.06514,0.06217,0.06289,4038389.1,256469.107324,0,0,0
2025-06-09T18:00:00+00:00Z,2025-06-09T19:00:00+00:00Z,0.06289,0.06361,0.06107,0.06182,2574068.6,161009.94908,0,0,0
2025-06-09T19:00:00+00:00Z,2025-06-09T20:00:00+00:00Z,0.06182,0.06726,0.06139,0.06386,3745417.6,235641.226756,0,0,0
2025-06-09T20:00:00+00:00Z,2025-06-09T21:00:00+00:00Z,0.06386,0.06539,0.06303,0.06376,1998414.5,127996.662123,0,0,0
2025-06-09T21:00:00+00:00Z,2025-06-09T22:00:00+00:00Z,0.06376,0.07,0.06353,0.06595,4917638.4,329758.868783,0,0,0
2025-06-09T22:00:00+00:00Z,2025-06-09T23:00:00+00:00Z,0.06595,0.06841,0.06595,0.06723,2819182.0,188880.552865,0,0,0
