# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,SOLOUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-08-19T10:00:00+00:00Z
# t0_final_iso,2022-08-19T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,acd443fee700bc13
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-08-19T10:00:00+00:00Z,2022-08-19T11:00:00+00:00Z,0.12,0.166,0.12,0.1603,571499.63,92224.465982,0,0,0
2022-08-19T11:00:00+00:00Z,2022-08-19T12:00:00+00:00Z,0.1603,0.1639,0.1599,0.1605,80645.24,13002.6266,0,0,0
2022-08-19T12:00:00+00:00Z,2022-08-19T13:00:00+00:00Z,0.1605,0.1607,0.1584,0.1584,43225.65,6883.696507,0,0,0
2022-08-19T13:00:00+00:00Z,2022-08-19T14:00:00+00:00Z,0.1584,0.1594,0.1568,0.1572,31730.43,5008.541871,0,0,0
2022-08-19T14:00:00+00:00Z,2022-08-19T15:00:00+00:00Z,0.1572,0.159,0.1568,0.158,21095.5,3329.232077,0,0,0
2022-08-19T15:00:00+00:00Z,2022-08-19T16:00:00+00:00Z,0.158,0.1583,0.1556,0.156,18353.72,2884.18029,0,0,0
2022-08-19T16:00:00+00:00Z,2022-08-19T17:00:00+00:00Z,0.156,0.1576,0.156,0.156,25377.45,3974.17306,0,0,0
2022-08-19T17:00:00+00:00Z,2022-08-19T18:00:00+00:00Z,0.156,0.1585,0.156,0.157,13521.02,2123.406159,0,0,0
2022-08-19T18:00:00+00:00Z,2022-08-19T19:00:00+00:00Z,0.157,0.1577,0.1521,0.1523,9936.18,1551.094992,0,0,0
2022-08-19T19:00:00+00:00Z,2022-08-19T20:00:00+00:00Z,0.1523,0.156,0.1502,0.1508,3738.88,567.990404,0,0,0
2022-08-19T20:00:00+00:00Z,2022-08-19T21:00:00+00:00Z,0.1508,0.152,0.1507,0.151,4277.49,644.940754,0,0,0
2022-08-19T21:00:00+00:00Z,2022-08-19T22:00:00+00:00Z,0.151,0.1525,0.1496,0.1497,2485.08,374.685418,0,0,0
2022-08-19T22:00:00+00:00Z,2022-08-19T23:00:00+00:00Z,0.1497,0.1524,0.1496,0.1524,3388.11,512.10417,0,0,0
2022-08-19T23:00:00+00:00Z,2022-08-20T00:00:00+00:00Z,0.1524,0.1524,0.1491,0.1504,3630.04,548.268768,0,0,0
2022-08-20T00:00:00+00:00Z,2022-08-20T01:00:00+00:00Z,0.1504,0.151,0.149,0.1499,4879.93,732.983679,0,0,0
2022-08-20T01:00:00+00:00Z,2022-08-20T02:00:00+00:00Z,0.1499,0.1499,0.146,0.1489,5823.97,861.467997,0,0,0
2022-08-20T02:00:00+00:00Z,2022-08-20T03:00:00+00:00Z,0.1489,0.1495,0.1473,0.148,10044.43,1496.846539,0,0,0
2022-08-20T03:00:00+00:00Z,2022-08-20T04:00:00+00:00Z,0.148,0.1494,0.1472,0.1481,8417.4,1248.377639,0,0,0
2022-08-20T04:00:00+00:00Z,2022-08-20T05:00:00+00:00Z,0.1481,0.1486,0.1473,0.1486,2087.21,308.768985,0,0,0
2022-08-20T05:00:00+00:00Z,2022-08-20T06:00:00+00:00Z,0.1486,0.1498,0.1479,0.1487,3325.24,495.18388,0,0,0
2022-08-20T06:00:00+00:00Z,2022-08-20T07:00:00+00:00Z,0.1487,0.1495,0.1481,0.1491,24985.81,3732.517056,0,0,0
2022-08-20T07:00:00+00:00Z,2022-08-20T08:00:00+00:00Z,0.1491,0.1507,0.1486,0.1499,12078.85,1809.898491,0,0,0
2022-08-20T08:00:00+00:00Z,2022-08-20T09:00:00+00:00Z,0.1499,0.1504,0.1488,0.1503,3919.97,585.89391,0,0,0
2022-08-20T09:00:00+00:00Z,2022-08-20T10:00:00+00:00Z,0.1503,0.1519,0.1496,0.1503,23961.5,3618.764439,0,0,0
2022-08-20T10:00:00+00:00Z,2022-08-20T11:00:00+00:00Z,0.1503,0.1513,0.1497,0.1502,17053.67,2564.465556,0,0,0
2022-08-20T11:00:00+00:00Z,2022-08-20T12:00:00+00:00Z,0.1502,0.1517,0.1502,0.1509,6324.35,954.568062,0,0,0
2022-08-20T12:00:00+00:00Z,2022-08-20T13:00:00+00:00Z,0.1509,0.1511,0.1503,0.1509,1491.98,225.093377,0,0,0
