# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,SPKUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-06-17T09:00:00+00:00Z
# t0_final_iso,2025-06-17T09:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,c78191bda23ccee8
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-06-17T09:00:00+00:00Z,2025-06-17T10:00:00+00:00Z,0.03,0.08775,0.03,0.05522,53448927.2,3182741.270214,0,0,0
2025-06-17T10:00:00+00:00Z,2025-06-17T11:00:00+00:00Z,0.05522,0.0636,0.05466,0.05801,54797338.3,3225725.150404,0,0,0
2025-06-17T11:00:00+00:00Z,2025-06-17T12:00:00+00:00Z,0.05801,0.0631,0.05631,0.06227,35966356.9,2097286.855934,0,0,0
2025-06-17T12:00:00+00:00Z,2025-06-17T13:00:00+00:00Z,0.06227,0.0632,0.05704,0.0586,16864251.5,1002115.500826,0,0,0
2025-06-17T13:00:00+00:00Z,2025-06-17T14:00:00+00:00Z,0.0586,0.05874,0.05543,0.05687,12995826.0,738083.570935,0,0,0
2025-06-17T14:00:00+00:00Z,2025-06-17T15:00:00+00:00Z,0.05687,0.05833,0.05335,0.05357,16791843.2,948884.733388,0,0,0
2025-06-17T15:00:00+00:00Z,2025-06-17T16:00:00+00:00Z,0.05357,0.05568,0.05314,0.05414,10745605.6,581147.059991,0,0,0
2025-06-17T16:00:00+00:00Z,2025-06-17T17:00:00+00:00Z,0.05414,0.05475,0.04892,0.05022,20657328.3,1055905.029113,0,0,0
2025-06-17T17:00:00+00:00Z,2025-06-17T18:00:00+00:00Z,0.05022,0.05635,0.04997,0.05562,17459681.9,923611.049702,0,0,0
2025-06-17T18:00:00+00:00Z,2025-06-17T19:00:00+00:00Z,0.05562,0.05744,0.0547,0.0558,12116317.8,677367.237865,0,0,0
2025-06-17T19:00:00+00:00Z,2025-06-17T20:00:00+00:00Z,0.0558,0.05817,0.0557,0.05667,11457371.0,653325.413055,0,0,0
2025-06-17T20:00:00+00:00Z,2025-06-17T21:00:00+00:00Z,0.05667,0.05667,0.0534,0.05442,8100304.3,444359.522432,0,0,0
2025-06-17T21:00:00+00:00Z,2025-06-17T22:00:00+00:00Z,0.05442,0.06021,0.05386,0.05727,14601065.9,842768.153016,0,0,0
2025-06-17T22:00:00+00:00Z,2025-06-17T23:00:00+00:00Z,0.05727,0.05937,0.05554,0.05673,10306669.2,590786.018375,0,0,0
2025-06-17T23:00:00+00:00Z,2025-06-18T00:00:00+00:00Z,0.05673,0.05766,0.05578,0.0575,7884930.9,448975.205097,0,0,0
2025-06-18T00:00:00+00:00Z,2025-06-18T01:00:00+00:00Z,0.0575,0.06045,0.05629,0.05771,17213092.1,1006929.083265,0,0,0
