# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,STRKUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-02-20T12:00:00+00:00Z
# t0_final_iso,2024-02-20T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,fa0c7980f745393c
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-02-20T12:00:00+00:00Z,2024-02-20T13:00:00+00:00Z,0.5,7.3318,0.5,2.7333,9882127.34,26582754.731923,0,0,0
2024-02-20T13:00:00+00:00Z,2024-02-20T14:00:00+00:00Z,2.7333,3.66,2.7194,2.9694,9657993.42,29996301.471909,0,0,0
2024-02-20T14:00:00+00:00Z,2024-02-20T15:00:00+00:00Z,2.9694,3.0,2.42,2.4299,4392675.1,11822724.859487,0,0,0
2024-02-20T15:00:00+00:00Z,2024-02-20T16:00:00+00:00Z,2.4299,2.49,2.22,2.3039,2663113.47,6203018.037843,0,0,0
2024-02-20T16:00:00+00:00Z,2024-02-20T17:00:00+00:00Z,2.3039,2.3377,2.08,2.1101,2486608.8,5405207.109778,0,0,0
2024-02-20T17:00:00+00:00Z,2024-02-20T18:00:00+00:00Z,2.1101,2.2615,2.0019,2.0135,3167253.37,6717042.311012,0,0,0
2024-02-20T18:00:00+00:00Z,2024-02-20T19:00:00+00:00Z,2.0135,2.1188,1.9232,2.0922,2340839.0,4694333.998518,0,0,0
2024-02-20T19:00:00+00:00Z,2024-02-20T20:00:00+00:00Z,2.0922,2.1624,2.0001,2.0556,1322851.75,2749600.573463,0,0,0
2024-02-20T20:00:00+00:00Z,2024-02-20T21:00:00+00:00Z,2.0556,2.0954,1.9809,2.0334,1030526.14,2095884.903569,0,0,0
2024-02-20T21:00:00+00:00Z,2024-02-20T22:00:00+00:00Z,2.0334,2.0732,2.0,2.0395,558369.79,1135199.965702,0,0,0
2024-02-20T22:00:00+00:00Z,2024-02-20T23:00:00+00:00Z,2.0395,2.0455,1.8437,1.9249,1458342.32,2802548.353919,0,0,0
2024-02-20T23:00:00+00:00Z,2024-02-21T00:00:00+00:00Z,1.9249,1.9708,1.8959,1.9513,992101.34,1918967.306479,0,0,0
2024-02-21T00:00:00+00:00Z,2024-02-21T01:00:00+00:00Z,1.9513,2.09,1.9178,2.079,917906.7,1845448.800074,0,0,0
2024-02-21T01:00:00+00:00Z,2024-02-21T02:00:00+00:00Z,2.079,2.1863,2.01,2.1841,724502.59,1515692.806229,0,0,0
2024-02-21T02:00:00+00:00Z,2024-02-21T03:00:00+00:00Z,2.1841,2.186,2.0102,2.0375,580916.48,1205580.111166,0,0,0
2024-02-21T03:00:00+00:00Z,2024-02-21T04:00:00+00:00Z,2.0375,2.0557,1.9421,2.0005,513692.56,1028614.912305,0,0,0
2024-02-21T04:00:00+00:00Z,2024-02-21T05:00:00+00:00Z,2.0005,2.0448,1.9839,2.0448,228532.28,461391.269801,0,0,0
2024-02-21T05:00:00+00:00Z,2024-02-21T06:00:00+00:00Z,2.0448,2.0657,1.95,1.959,431936.85,867066.199163,0,0,0
2024-02-21T06:00:00+00:00Z,2024-02-21T07:00:00+00:00Z,1.959,1.9727,1.9136,1.9305,963757.76,1874963.278915,0,0,0
2024-02-21T07:00:00+00:00Z,2024-02-21T08:00:00+00:00Z,1.9305,1.9499,1.9013,1.9193,448958.8,864316.3554,0,0,0
2024-02-21T08:00:00+00:00Z,2024-02-21T09:00:00+00:00Z,1.9193,1.96,1.86,1.9547,659208.62,1258381.071886,0,0,0
2024-02-21T09:00:00+00:00Z,2024-02-21T10:00:00+00:00Z,1.9547,1.9721,1.8508,1.8742,943613.05,1793993.195634,0,0,0
2024-02-21T10:00:00+00:00Z,2024-02-21T11:00:00+00:00Z,1.8742,1.9029,1.82,1.8906,874043.79,1638135.890632,0,0,0
2024-02-21T11:00:00+00:00Z,2024-02-21T12:00:00+00:00Z,1.8906,1.9432,1.81,1.8333,1070317.08,2001687.129652,0,0,0
2024-02-21T12:00:00+00:00Z,2024-02-21T13:00:00+00:00Z,1.8333,1.8466,1.7528,1.8118,1390878.64,2497504.655932,0,0,0
2024-02-21T13:00:00+00:00Z,2024-02-21T14:00:00+00:00Z,1.8118,1.8412,1.6742,1.7317,1366013.86,2379953.559238,0,0,0
2024-02-21T14:00:00+00:00Z,2024-02-21T15:00:00+00:00Z,1.7317,1.7492,1.6702,1.7106,842521.76,1439123.040014,0,0,0
2024-02-21T15:00:00+00:00Z,2024-02-21T16:00:00+00:00Z,1.7106,1.7877,1.68,1.7671,771202.34,1342360.932356,0,0,0
2024-02-21T16:00:00+00:00Z,2024-02-21T17:00:00+00:00Z,1.7671,1.949,1.7558,1.9039,1669926.82,3118839.844233,0,0,0
2024-02-21T17:00:00+00:00Z,2024-02-21T18:00:00+00:00Z,1.9039,1.954,1.861,1.8839,1443787.99,2768896.228144,0,0,0
2024-02-21T18:00:00+00:00Z,2024-02-21T19:00:00+00:00Z,1.8839,1.9,1.8345,1.8574,471415.27,880185.342881,0,0,0
2024-02-21T19:00:00+00:00Z,2024-02-21T20:00:00+00:00Z,1.8574,1.9055,1.8085,1.8251,442017.94,822640.680307,0,0,0
2024-02-21T20:00:00+00:00Z,2024-02-21T21:00:00+00:00Z,1.8251,1.8417,1.773,1.7943,236827.47,428263.343773,0,0,0
2024-02-21T21:00:00+00:00Z,2024-02-21T22:00:00+00:00Z,1.7943,1.8252,1.7646,1.8143,275036.32,494550.893701,0,0,0
2024-02-21T22:00:00+00:00Z,2024-02-21T23:00:00+00:00Z,1.8143,1.8807,1.7805,1.8525,232156.06,424504.498253,0,0,0
2024-02-21T23:00:00+00:00Z,2024-02-22T00:00:00+00:00Z,1.8525,1.9233,1.8525,1.8918,412214.27,778009.941208,0,0,0
2024-02-22T00:00:00+00:00Z,2024-02-22T01:00:00+00:00Z,1.8918,1.9033,1.8056,1.8429,293888.61,544226.377718,0,0,0
2024-02-22T01:00:00+00:00Z,2024-02-22T02:00:00+00:00Z,1.8429,1.9,1.8114,1.8203,228087.11,423568.489144,0,0,0
2024-02-22T02:00:00+00:00Z,2024-02-22T03:00:00+00:00Z,1.8203,1.8565,1.8163,1.8301,123390.64,226056.280371,0,0,0
2024-02-22T03:00:00+00:00Z,2024-02-22T04:00:00+00:00Z,1.8301,1.8974,1.8023,1.8878,260132.34,484598.873152,0,0,0
2024-02-22T04:00:00+00:00Z,2024-02-22T05:00:00+00:00Z,1.8878,1.93,1.857,1.8906,287914.61,544865.110131,0,0,0
2024-02-22T05:00:00+00:00Z,2024-02-22T06:00:00+00:00Z,1.8906,1.9035,1.836,1.8537,311316.72,581526.452231,0,0,0
2024-02-22T06:00:00+00:00Z,2024-02-22T07:00:00+00:00Z,1.8537,1.879,1.822,1.8509,288854.15,534977.602134,0,0,0
2024-02-22T07:00:00+00:00Z,2024-02-22T08:00:00+00:00Z,1.8509,1.8904,1.825,1.8809,242331.25,451048.592418,0,0,0
2024-02-22T08:00:00+00:00Z,2024-02-22T09:00:00+00:00Z,1.8809,1.9461,1.871,1.9421,684357.68,1312378.71651,0,0,0
2024-02-22T09:00:00+00:00Z,2024-02-22T10:00:00+00:00Z,1.9421,1.96,1.8886,1.9254,475267.99,915859.750159,0,0,0
2024-02-22T10:00:00+00:00Z,2024-02-22T11:00:00+00:00Z,1.9254,1.9412,1.8513,1.8607,525703.6,994439.422345,0,0,0
2024-02-22T11:00:00+00:00Z,2024-02-22T12:00:00+00:00Z,1.8607,1.8989,1.85,1.8939,313797.2,587795.321475,0,0,0
2024-02-22T12:00:00+00:00Z,2024-02-22T13:00:00+00:00Z,1.8939,1.9069,1.85,1.8706,369813.09,694851.793689,0,0,0
2024-02-22T13:00:00+00:00Z,2024-02-22T14:00:00+00:00Z,1.8706,1.8735,1.8145,1.85,580651.16,1069264.987488,0,0,0
2024-02-22T14:00:00+00:00Z,2024-02-22T15:00:00+00:00Z,1.85,1.8684,1.8303,1.8643,235881.63,436633.140065,0,0,0
2024-02-22T15:00:00+00:00Z,2024-02-22T16:00:00+00:00Z,1.8643,1.87,1.8353,1.8485,316917.86,586371.427544,0,0,0
2024-02-22T16:00:00+00:00Z,2024-02-22T17:00:00+00:00Z,1.8485,1.8546,1.81,1.8154,303942.31,557283.692514,0,0,0
2024-02-22T17:00:00+00:00Z,2024-02-22T18:00:00+00:00Z,1.8154,1.8759,1.8146,1.8435,439834.42,810630.463055,0,0,0
2024-02-22T18:00:00+00:00Z,2024-02-22T19:00:00+00:00Z,1.8435,1.8703,1.832,1.8623,248892.3,460553.059793,0,0,0
2024-02-22T19:00:00+00:00Z,2024-02-22T20:00:00+00:00Z,1.8623,1.9013,1.8468,1.8737,355177.43,667982.065049,0,0,0
2024-02-22T20:00:00+00:00Z,2024-02-22T21:00:00+00:00Z,1.8737,1.9006,1.8703,1.8975,302383.26,570396.497895,0,0,0
2024-02-22T21:00:00+00:00Z,2024-02-22T22:00:00+00:00Z,1.8975,2.0421,1.8501,1.971,2009277.72,3938945.401453,0,0,0
2024-02-22T22:00:00+00:00Z,2024-02-22T23:00:00+00:00Z,1.971,1.99,1.9258,1.9653,882611.74,1728442.652975,0,0,0
2024-02-22T23:00:00+00:00Z,2024-02-23T00:00:00+00:00Z,1.9653,1.976,1.9015,1.9283,445149.95,861238.07174,0,0,0
2024-02-23T00:00:00+00:00Z,2024-02-23T01:00:00+00:00Z,1.9283,1.9731,1.9181,1.9557,208407.96,406377.376609,0,0,0
2024-02-23T01:00:00+00:00Z,2024-02-23T02:00:00+00:00Z,1.9557,2.0947,1.9552,2.0947,739989.47,1503905.967006,0,0,0
2024-02-23T02:00:00+00:00Z,2024-02-23T03:00:00+00:00Z,2.0947,2.1451,2.0462,2.0598,940943.87,1978659.017319,0,0,0
