# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,TOMIUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2023-05-12T10:00:00+00:00Z
# t0_final_iso,2023-05-12T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,f234aff540c96700
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-05-12T10:00:00+00:00Z,2023-05-12T11:00:00+00:00Z,3.0,4.77,3.0,4.315,159260.56,668877.57509,0,0,0
2023-05-12T11:00:00+00:00Z,2023-05-12T12:00:00+00:00Z,4.315,4.75,4.3,4.65,71540.74,325636.92342,0,0,0
2023-05-12T12:00:00+00:00Z,2023-05-12T13:00:00+00:00Z,4.65,4.676,4.016,4.285,64434.05,280204.1392,0,0,0
2023-05-12T13:00:00+00:00Z,2023-05-12T14:00:00+00:00Z,4.285,4.41,4.0,4.12,67307.4,279232.316,0,0,0
2023-05-12T14:00:00+00:00Z,2023-05-12T15:00:00+00:00Z,4.12,4.249,3.87,3.889,68412.93,272848.69908,0,0,0
2023-05-12T15:00:00+00:00Z,2023-05-12T16:00:00+00:00Z,3.889,4.06,3.85,3.959,74620.48,296035.26152,0,0,0
2023-05-12T16:00:00+00:00Z,2023-05-12T17:00:00+00:00Z,3.959,4.255,3.899,3.945,50142.17,198753.43573,0,0,0
2023-05-12T17:00:00+00:00Z,2023-05-12T18:00:00+00:00Z,3.945,4.1,3.85,3.853,55523.12,217779.53932,0,0,0
2023-05-12T18:00:00+00:00Z,2023-05-12T19:00:00+00:00Z,3.853,4.055,3.85,3.955,46258.87,179917.15939,0,0,0
2023-05-12T19:00:00+00:00Z,2023-05-12T20:00:00+00:00Z,3.955,4.05,3.853,3.935,16060.73,63370.21553,0,0,0
2023-05-12T20:00:00+00:00Z,2023-05-12T21:00:00+00:00Z,3.935,4.049,3.845,3.95,4432.55,17498.58226,0,0,0
2023-05-12T21:00:00+00:00Z,2023-05-12T22:00:00+00:00Z,3.95,4.15,3.855,4.091,1241.42,5007.60297,0,0,0
2023-05-12T22:00:00+00:00Z,2023-05-12T23:00:00+00:00Z,4.091,4.149,3.803,4.045,3497.38,14210.57977,0,0,0
2023-05-12T23:00:00+00:00Z,2023-05-13T00:00:00+00:00Z,4.045,4.045,3.879,4.042,9073.84,36517.60381,0,0,0
2023-05-13T00:00:00+00:00Z,2023-05-13T01:00:00+00:00Z,4.042,4.045,3.93,4.044,31368.15,126537.57249,0,0,0
2023-05-13T01:00:00+00:00Z,2023-05-13T02:00:00+00:00Z,4.044,4.045,3.881,3.984,19885.77,79756.51434,0,0,0
2023-05-13T02:00:00+00:00Z,2023-05-13T03:00:00+00:00Z,3.984,4.0,3.918,3.938,28043.28,111629.99072,0,0,0
2023-05-13T03:00:00+00:00Z,2023-05-13T04:00:00+00:00Z,3.938,4.045,3.878,4.032,27225.07,108661.20389,0,0,0
2023-05-13T04:00:00+00:00Z,2023-05-13T05:00:00+00:00Z,4.032,4.087,3.886,3.914,3889.01,15611.63084,0,0,0
2023-05-13T05:00:00+00:00Z,2023-05-13T06:00:00+00:00Z,3.914,4.0,3.914,3.915,262.59,1030.81421,0,0,0
2023-05-13T06:00:00+00:00Z,2023-05-13T07:00:00+00:00Z,3.915,4.05,3.885,4.05,285.15,1131.68587,0,0,0
2023-05-13T07:00:00+00:00Z,2023-05-13T08:00:00+00:00Z,4.05,4.2,3.887,4.099,1288.57,5295.13766,0,0,0
2023-05-13T08:00:00+00:00Z,2023-05-13T09:00:00+00:00Z,4.099,4.123,3.966,4.09,37001.94,150277.7536,0,0,0
2023-05-13T09:00:00+00:00Z,2023-05-13T10:00:00+00:00Z,4.09,4.09,3.918,3.918,917.75,3652.73843,0,0,0
2023-05-13T10:00:00+00:00Z,2023-05-13T11:00:00+00:00Z,3.918,3.999,3.813,3.999,40816.4,159554.3279,0,0,0
2023-05-13T11:00:00+00:00Z,2023-05-13T12:00:00+00:00Z,3.999,3.999,3.82,3.877,48394.62,189632.77731,0,0,0
2023-05-13T12:00:00+00:00Z,2023-05-13T13:00:00+00:00Z,3.877,4.034,3.801,3.801,22039.76,85406.88049,0,0,0
2023-05-13T13:00:00+00:00Z,2023-05-13T14:00:00+00:00Z,3.801,3.898,3.801,3.856,43442.02,168049.18055,0,0,0
2023-05-13T14:00:00+00:00Z,2023-05-13T15:00:00+00:00Z,3.856,3.9,3.702,3.802,48157.91,183870.71399,0,0,0
2023-05-13T15:00:00+00:00Z,2023-05-13T16:00:00+00:00Z,3.802,3.985,3.6,3.8,47582.52,181621.45815,0,0,0
2023-05-13T16:00:00+00:00Z,2023-05-13T17:00:00+00:00Z,3.8,3.95,3.676,3.742,44518.45,168212.79089,0,0,0
2023-05-13T17:00:00+00:00Z,2023-05-13T18:00:00+00:00Z,3.742,3.82,3.655,3.706,39213.46,145518.67574,0,0,0
2023-05-13T18:00:00+00:00Z,2023-05-13T19:00:00+00:00Z,3.706,3.9,3.661,3.755,74307.4,280857.02288,0,0,0
2023-05-13T19:00:00+00:00Z,2023-05-13T20:00:00+00:00Z,3.755,3.862,3.739,3.826,60366.97,229555.40524,0,0,0
2023-05-13T20:00:00+00:00Z,2023-05-13T21:00:00+00:00Z,3.826,3.855,3.8,3.827,42434.55,161915.29597,0,0,0
2023-05-13T21:00:00+00:00Z,2023-05-13T22:00:00+00:00Z,3.827,3.9,3.8,3.803,63686.38,244028.25378,0,0,0
2023-05-13T22:00:00+00:00Z,2023-05-13T23:00:00+00:00Z,3.803,3.803,3.66,3.707,40795.95,151802.52132,0,0,0
2023-05-13T23:00:00+00:00Z,2023-05-14T00:00:00+00:00Z,3.707,3.724,3.6,3.724,54667.4,199784.02752,0,0,0
2023-05-14T00:00:00+00:00Z,2023-05-14T01:00:00+00:00Z,3.724,3.917,3.565,3.693,68262.96,251192.10138,0,0,0
2023-05-14T01:00:00+00:00Z,2023-05-14T02:00:00+00:00Z,3.693,3.748,3.5,3.526,59768.44,216585.30113,0,0,0
2023-05-14T02:00:00+00:00Z,2023-05-14T03:00:00+00:00Z,3.526,3.535,3.501,3.516,83612.46,293931.12034,0,0,0
2023-05-14T03:00:00+00:00Z,2023-05-14T04:00:00+00:00Z,3.516,3.572,3.504,3.515,82234.24,289782.19508,0,0,0
2023-05-14T04:00:00+00:00Z,2023-05-14T05:00:00+00:00Z,3.515,3.621,3.501,3.539,85344.64,303089.35143,0,0,0
2023-05-14T05:00:00+00:00Z,2023-05-14T06:00:00+00:00Z,3.539,3.665,3.515,3.6,84017.81,298964.26777,0,0,0
2023-05-14T06:00:00+00:00Z,2023-05-14T07:00:00+00:00Z,3.6,3.636,3.557,3.564,61657.02,222542.29172,0,0,0
2023-05-14T07:00:00+00:00Z,2023-05-14T08:00:00+00:00Z,3.564,3.619,3.557,3.565,68701.95,245747.6469,0,0,0
2023-05-14T08:00:00+00:00Z,2023-05-14T09:00:00+00:00Z,3.565,3.88,3.557,3.751,62381.82,230768.82885,0,0,0
2023-05-14T09:00:00+00:00Z,2023-05-14T10:00:00+00:00Z,3.751,3.752,3.622,3.683,75237.18,275336.99684,0,0,0
2023-05-14T10:00:00+00:00Z,2023-05-14T11:00:00+00:00Z,3.683,3.795,3.554,3.602,104872.01,387838.91885,0,0,0
2023-05-14T11:00:00+00:00Z,2023-05-14T12:00:00+00:00Z,3.602,3.61,3.5,3.574,60201.8,215379.2462,0,0,0
2023-05-14T12:00:00+00:00Z,2023-05-14T13:00:00+00:00Z,3.574,3.659,3.54,3.597,85943.84,308723.31117,0,0,0
2023-05-14T13:00:00+00:00Z,2023-05-14T14:00:00+00:00Z,3.597,3.602,3.58,3.586,110364.41,396276.32066,0,0,0
2023-05-14T14:00:00+00:00Z,2023-05-14T15:00:00+00:00Z,3.586,3.745,3.583,3.625,33735.27,121492.06511,0,0,0
2023-05-14T15:00:00+00:00Z,2023-05-14T16:00:00+00:00Z,3.625,3.711,3.534,3.598,15985.39,57268.2642,0,0,0
2023-05-14T16:00:00+00:00Z,2023-05-14T17:00:00+00:00Z,3.598,3.664,3.554,3.568,63523.93,227487.4363,0,0,0
2023-05-14T17:00:00+00:00Z,2023-05-14T18:00:00+00:00Z,3.568,3.593,3.522,3.56,41113.23,146510.44496,0,0,0
2023-05-14T18:00:00+00:00Z,2023-05-14T19:00:00+00:00Z,3.56,3.588,3.528,3.555,48732.08,173406.16522,0,0,0
2023-05-14T19:00:00+00:00Z,2023-05-14T20:00:00+00:00Z,3.555,3.64,3.528,3.55,40506.61,143898.97766,0,0,0
2023-05-14T20:00:00+00:00Z,2023-05-14T21:00:00+00:00Z,3.55,3.62,3.531,3.539,94.29,337.73208,0,0,0
2023-05-14T21:00:00+00:00Z,2023-05-14T22:00:00+00:00Z,3.539,3.591,3.5,3.5,1592.08,5674.84899,0,0,0
2023-05-14T22:00:00+00:00Z,2023-05-14T23:00:00+00:00Z,3.5,3.554,3.5,3.501,29.11,102.03702,0,0,0
2023-05-14T23:00:00+00:00Z,2023-05-15T00:00:00+00:00Z,3.501,3.55,3.5,3.5,53.84,188.49712,0,0,0
2023-05-15T00:00:00+00:00Z,2023-05-15T01:00:00+00:00Z,3.5,3.584,3.473,3.582,207.24,726.56885,0,0,0
2023-05-15T01:00:00+00:00Z,2023-05-15T02:00:00+00:00Z,3.582,3.692,3.517,3.559,7088.03,25018.2051,0,0,0
2023-05-15T02:00:00+00:00Z,2023-05-15T03:00:00+00:00Z,3.559,3.789,3.507,3.62,17824.06,63888.12617,0,0,0
2023-05-15T03:00:00+00:00Z,2023-05-15T04:00:00+00:00Z,3.62,3.638,3.51,3.556,51268.87,181859.80936,0,0,0
2023-05-15T04:00:00+00:00Z,2023-05-15T05:00:00+00:00Z,3.556,3.7,3.51,3.576,18507.12,66205.65023,0,0,0
2023-05-15T05:00:00+00:00Z,2023-05-15T06:00:00+00:00Z,3.576,3.595,3.526,3.55,73.39,260.88453,0,0,0
2023-05-15T06:00:00+00:00Z,2023-05-15T07:00:00+00:00Z,3.55,3.654,3.5,3.557,36699.32,130296.40089,0,0,0
2023-05-15T07:00:00+00:00Z,2023-05-15T08:00:00+00:00Z,3.557,3.65,3.49,3.564,54807.27,194767.72595,0,0,0
2023-05-15T08:00:00+00:00Z,2023-05-15T09:00:00+00:00Z,3.564,3.6,3.551,3.551,13194.76,47002.625,0,0,0
2023-05-15T09:00:00+00:00Z,2023-05-15T10:00:00+00:00Z,3.551,3.64,3.49,3.576,37516.57,133746.77346,0,0,0
