# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,TREEUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-07-29T14:00:00+00:00Z
# t0_final_iso,2025-07-29T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,cd9aba6898f2b9d7
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-07-29T14:00:00+00:00Z,2025-07-29T15:00:00+00:00Z,0.2,1.4,0.2,0.7825,6078859.1,5865912.03325,0,0,0
2025-07-29T15:00:00+00:00Z,2025-07-29T16:00:00+00:00Z,0.7825,0.8078,0.6783,0.6953,2599770.7,1919116.01128,0,0,0
2025-07-29T16:00:00+00:00Z,2025-07-29T17:00:00+00:00Z,0.6953,0.7384,0.616,0.6512,3252916.1,2183638.07239,0,0,0
2025-07-29T17:00:00+00:00Z,2025-07-29T18:00:00+00:00Z,0.6512,0.6923,0.6245,0.674,1550850.1,1021190.22297,0,0,0
2025-07-29T18:00:00+00:00Z,2025-07-29T19:00:00+00:00Z,0.674,0.7255,0.6388,0.6979,1187431.3,803347.49449,0,0,0
2025-07-29T19:00:00+00:00Z,2025-07-29T20:00:00+00:00Z,0.6979,0.7116,0.66,0.6772,671067.9,464560.80998,0,0,0
2025-07-29T20:00:00+00:00Z,2025-07-29T21:00:00+00:00Z,0.6772,0.7094,0.6432,0.6841,526679.2,353783.12853,0,0,0
2025-07-29T21:00:00+00:00Z,2025-07-29T22:00:00+00:00Z,0.6841,0.72,0.6737,0.6841,619401.9,429680.27423,0,0,0
2025-07-29T22:00:00+00:00Z,2025-07-29T23:00:00+00:00Z,0.6841,0.6897,0.6652,0.6697,196265.4,132681.00827,0,0,0
2025-07-29T23:00:00+00:00Z,2025-07-30T00:00:00+00:00Z,0.6697,0.679,0.6526,0.6715,263938.1,176276.6159,0,0,0
2025-07-30T00:00:00+00:00Z,2025-07-30T01:00:00+00:00Z,0.6715,0.7025,0.6528,0.6834,533418.8,358197.93952,0,0,0
2025-07-30T01:00:00+00:00Z,2025-07-30T02:00:00+00:00Z,0.6834,0.709,0.6722,0.7022,411606.1,287501.59987,0,0,0
2025-07-30T02:00:00+00:00Z,2025-07-30T03:00:00+00:00Z,0.7022,0.705,0.6567,0.6611,288953.5,194634.1846,0,0,0
2025-07-30T03:00:00+00:00Z,2025-07-30T04:00:00+00:00Z,0.6611,0.6722,0.6431,0.649,249895.8,164616.47592,0,0,0
2025-07-30T04:00:00+00:00Z,2025-07-30T05:00:00+00:00Z,0.649,0.6651,0.6173,0.6189,268505.5,173280.82306,0,0,0
2025-07-30T05:00:00+00:00Z,2025-07-30T06:00:00+00:00Z,0.6189,0.6292,0.5511,0.5548,870807.6,502560.75262,0,0,0
2025-07-30T06:00:00+00:00Z,2025-07-30T07:00:00+00:00Z,0.5548,0.58,0.5548,0.5795,230542.8,131917.92328,0,0,0
2025-07-30T07:00:00+00:00Z,2025-07-30T08:00:00+00:00Z,0.5795,0.607,0.5692,0.5735,255676.4,150744.98577,0,0,0
2025-07-30T08:00:00+00:00Z,2025-07-30T09:00:00+00:00Z,0.5735,0.5938,0.5675,0.5795,198172.1,115922.49351,0,0,0
2025-07-30T09:00:00+00:00Z,2025-07-30T10:00:00+00:00Z,0.5795,0.5834,0.5551,0.5761,214421.4,122221.30418,0,0,0
2025-07-30T10:00:00+00:00Z,2025-07-30T11:00:00+00:00Z,0.5761,0.5918,0.5695,0.5741,287282.7,167501.36578,0,0,0
2025-07-30T11:00:00+00:00Z,2025-07-30T12:00:00+00:00Z,0.5741,0.5817,0.5608,0.5665,275355.0,157801.21522,0,0,0
2025-07-30T12:00:00+00:00Z,2025-07-30T13:00:00+00:00Z,0.5665,0.5792,0.558,0.5688,604328.7,342808.84637,0,0,0
2025-07-30T13:00:00+00:00Z,2025-07-30T14:00:00+00:00Z,0.5688,0.5783,0.54,0.55,348912.1,195160.43398,0,0,0
2025-07-30T14:00:00+00:00Z,2025-07-30T15:00:00+00:00Z,0.55,0.5501,0.5234,0.5432,481257.4,257900.23189,0,0,0
2025-07-30T15:00:00+00:00Z,2025-07-30T16:00:00+00:00Z,0.5432,0.5432,0.5255,0.5349,441720.2,236106.61566,0,0,0
2025-07-30T16:00:00+00:00Z,2025-07-30T17:00:00+00:00Z,0.5349,0.54,0.506,0.512,569723.6,298329.54945,0,0,0
2025-07-30T17:00:00+00:00Z,2025-07-30T18:00:00+00:00Z,0.512,0.5335,0.5029,0.5329,640968.7,329891.74934,0,0,0
2025-07-30T18:00:00+00:00Z,2025-07-30T19:00:00+00:00Z,0.5329,0.5352,0.5202,0.5216,230813.2,121962.21275,0,0,0
2025-07-30T19:00:00+00:00Z,2025-07-30T20:00:00+00:00Z,0.5216,0.5542,0.5094,0.5401,439453.4,234809.56706,0,0,0
2025-07-30T20:00:00+00:00Z,2025-07-30T21:00:00+00:00Z,0.5401,0.5476,0.5308,0.5394,184781.0,99665.59371,0,0,0
2025-07-30T21:00:00+00:00Z,2025-07-30T22:00:00+00:00Z,0.5394,0.5439,0.531,0.5413,205841.4,110260.60023,0,0,0
2025-07-30T22:00:00+00:00Z,2025-07-30T23:00:00+00:00Z,0.5413,0.5532,0.5327,0.5359,326790.9,177941.47805,0,0,0
2025-07-30T23:00:00+00:00Z,2025-07-31T00:00:00+00:00Z,0.5359,0.5425,0.5312,0.5319,216737.6,116156.87574,0,0,0
2025-07-31T00:00:00+00:00Z,2025-07-31T01:00:00+00:00Z,0.5319,0.5402,0.5181,0.5299,473464.9,251253.2376,0,0,0
2025-07-31T01:00:00+00:00Z,2025-07-31T02:00:00+00:00Z,0.5299,0.5526,0.5265,0.5464,447083.4,242096.01983,0,0,0
2025-07-31T02:00:00+00:00Z,2025-07-31T03:00:00+00:00Z,0.5464,0.5541,0.5305,0.5343,415604.3,225301.85219,0,0,0
2025-07-31T03:00:00+00:00Z,2025-07-31T04:00:00+00:00Z,0.5343,0.5353,0.5187,0.5191,392900.7,206626.60513,0,0,0
2025-07-31T04:00:00+00:00Z,2025-07-31T05:00:00+00:00Z,0.5191,0.5282,0.5166,0.52,326503.2,170893.4992,0,0,0
2025-07-31T05:00:00+00:00Z,2025-07-31T06:00:00+00:00Z,0.52,0.5243,0.5157,0.5195,258637.3,134495.78868,0,0,0
2025-07-31T06:00:00+00:00Z,2025-07-31T07:00:00+00:00Z,0.5195,0.5228,0.4825,0.4967,378052.5,188820.90353,0,0,0
2025-07-31T07:00:00+00:00Z,2025-07-31T08:00:00+00:00Z,0.4967,0.4969,0.4692,0.4806,314417.9,151114.29268,0,0,0
2025-07-31T08:00:00+00:00Z,2025-07-31T09:00:00+00:00Z,0.4806,0.5119,0.4802,0.5071,247985.3,122810.68708,0,0,0
2025-07-31T09:00:00+00:00Z,2025-07-31T10:00:00+00:00Z,0.5071,0.52,0.4986,0.5063,530262.9,271183.23755,0,0,0
2025-07-31T10:00:00+00:00Z,2025-07-31T11:00:00+00:00Z,0.5063,0.5063,0.4963,0.5014,226623.7,113448.22228,0,0,0
2025-07-31T11:00:00+00:00Z,2025-07-31T12:00:00+00:00Z,0.5014,0.5115,0.4999,0.5033,248151.1,125575.32898,0,0,0
2025-07-31T12:00:00+00:00Z,2025-07-31T13:00:00+00:00Z,0.5033,0.5067,0.497,0.499,280766.3,140822.45742,0,0,0
2025-07-31T13:00:00+00:00Z,2025-07-31T14:00:00+00:00Z,0.499,0.5044,0.4851,0.5024,367524.1,181711.88975,0,0,0
2025-07-31T14:00:00+00:00Z,2025-07-31T15:00:00+00:00Z,0.5024,0.5119,0.487,0.494,194010.7,96604.70502,0,0,0
2025-07-31T15:00:00+00:00Z,2025-07-31T16:00:00+00:00Z,0.494,0.4951,0.482,0.491,204745.5,100159.25586,0,0,0
2025-07-31T16:00:00+00:00Z,2025-07-31T17:00:00+00:00Z,0.491,0.5,0.486,0.4946,158705.5,78315.8493,0,0,0
2025-07-31T17:00:00+00:00Z,2025-07-31T18:00:00+00:00Z,0.4946,0.4957,0.4746,0.48,115324.3,55940.18177,0,0,0
2025-07-31T18:00:00+00:00Z,2025-07-31T19:00:00+00:00Z,0.48,0.4923,0.4742,0.4916,155321.6,74999.08203,0,0,0
2025-07-31T19:00:00+00:00Z,2025-07-31T20:00:00+00:00Z,0.4916,0.4917,0.4831,0.49,91204.0,44423.48422,0,0,0
2025-07-31T20:00:00+00:00Z,2025-07-31T21:00:00+00:00Z,0.49,0.5,0.49,0.4947,91119.0,45107.13295,0,0,0
2025-07-31T21:00:00+00:00Z,2025-07-31T22:00:00+00:00Z,0.4947,0.5043,0.4734,0.4852,162466.9,80128.8653,0,0,0
2025-07-31T22:00:00+00:00Z,2025-07-31T23:00:00+00:00Z,0.4852,0.4864,0.4745,0.4852,723137.9,348162.37329,0,0,0
2025-07-31T23:00:00+00:00Z,2025-08-01T00:00:00+00:00Z,0.4852,0.5059,0.4852,0.493,225501.5,112074.45816,0,0,0
2025-08-01T00:00:00+00:00Z,2025-08-01T01:00:00+00:00Z,0.493,0.5182,0.488,0.5077,305213.8,154019.86886,0,0,0
2025-08-01T01:00:00+00:00Z,2025-08-01T02:00:00+00:00Z,0.5077,0.5156,0.4971,0.5106,129853.4,65678.8167,0,0,0
2025-08-01T02:00:00+00:00Z,2025-08-01T03:00:00+00:00Z,0.5106,0.5243,0.5025,0.5098,272954.7,139990.93976,0,0,0
2025-08-01T03:00:00+00:00Z,2025-08-01T04:00:00+00:00Z,0.5098,0.515,0.4964,0.4991,171474.7,86788.20682,0,0,0
2025-08-01T04:00:00+00:00Z,2025-08-01T05:00:00+00:00Z,0.4991,0.4991,0.4829,0.4866,200679.8,98300.57133,0,0,0
2025-08-01T05:00:00+00:00Z,2025-08-01T06:00:00+00:00Z,0.4866,0.4918,0.4819,0.4905,320828.6,156160.33563,0,0,0
2025-08-01T06:00:00+00:00Z,2025-08-01T07:00:00+00:00Z,0.4905,0.5343,0.4821,0.5302,554672.9,284290.90572,0,0,0
2025-08-01T07:00:00+00:00Z,2025-08-01T08:00:00+00:00Z,0.5302,0.5383,0.5119,0.5194,490839.2,256851.21417,0,0,0
2025-08-01T08:00:00+00:00Z,2025-08-01T09:00:00+00:00Z,0.5194,0.5317,0.5023,0.5219,593692.6,307678.02717,0,0,0
2025-08-01T09:00:00+00:00Z,2025-08-01T10:00:00+00:00Z,0.5219,0.54,0.5187,0.5327,350855.3,185440.14948,0,0,0
2025-08-01T10:00:00+00:00Z,2025-08-01T11:00:00+00:00Z,0.5327,0.5892,0.531,0.5715,743004.7,417935.46511,0,0,0
2025-08-01T11:00:00+00:00Z,2025-08-01T12:00:00+00:00Z,0.5715,0.5964,0.5565,0.5809,390446.5,224616.97405,0,0,0
2025-08-01T12:00:00+00:00Z,2025-08-01T13:00:00+00:00Z,0.5809,0.6066,0.5765,0.5999,434173.0,258467.0286,0,0,0
2025-08-01T13:00:00+00:00Z,2025-08-01T14:00:00+00:00Z,0.5999,0.6046,0.5414,0.5487,789152.5,449659.65097,0,0,0
2025-08-01T14:00:00+00:00Z,2025-08-01T15:00:00+00:00Z,0.5487,0.5636,0.5215,0.5303,477813.9,257734.93732,0,0,0
2025-08-01T15:00:00+00:00Z,2025-08-01T16:00:00+00:00Z,0.5303,0.5434,0.5249,0.5334,442459.0,236304.64007,0,0,0
2025-08-01T16:00:00+00:00Z,2025-08-01T17:00:00+00:00Z,0.5334,0.5492,0.5062,0.5084,379454.1,199968.80448,0,0,0
2025-08-01T17:00:00+00:00Z,2025-08-01T18:00:00+00:00Z,0.5084,0.5322,0.4968,0.5166,307003.3,159310.67649,0,0,0
2025-08-01T18:00:00+00:00Z,2025-08-01T19:00:00+00:00Z,0.5166,0.526,0.5107,0.5184,130144.5,67427.44691,0,0,0
2025-08-01T19:00:00+00:00Z,2025-08-01T20:00:00+00:00Z,0.5184,0.5193,0.5001,0.5027,276990.2,140220.31525,0,0,0
2025-08-01T20:00:00+00:00Z,2025-08-01T21:00:00+00:00Z,0.5027,0.5047,0.4906,0.5021,235277.4,116691.81355,0,0,0
2025-08-01T21:00:00+00:00Z,2025-08-01T22:00:00+00:00Z,0.5021,0.5032,0.493,0.4996,111207.5,55468.00488,0,0,0
2025-08-01T22:00:00+00:00Z,2025-08-01T23:00:00+00:00Z,0.4996,0.5021,0.4728,0.4883,383756.9,186096.55888,0,0,0
2025-08-01T23:00:00+00:00Z,2025-08-02T00:00:00+00:00Z,0.4883,0.495,0.4859,0.4893,141102.1,69238.70188,0,0,0
2025-08-02T00:00:00+00:00Z,2025-08-02T01:00:00+00:00Z,0.4893,0.4901,0.4824,0.4873,119762.3,58218.97055,0,0,0
2025-08-02T01:00:00+00:00Z,2025-08-02T02:00:00+00:00Z,0.4873,0.4936,0.4835,0.4918,55419.4,27134.83691,0,0,0
2025-08-02T02:00:00+00:00Z,2025-08-02T03:00:00+00:00Z,0.4918,0.4991,0.4895,0.4936,115037.8,56890.50289,0,0,0
2025-08-02T03:00:00+00:00Z,2025-08-02T04:00:00+00:00Z,0.4936,0.4938,0.4821,0.4853,156581.8,76168.43091,0,0,0
2025-08-02T04:00:00+00:00Z,2025-08-02T05:00:00+00:00Z,0.4853,0.5075,0.4835,0.5028,267052.2,131960.10227,0,0,0
