# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,TURBOSUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-05-15T10:00:00+00:00Z
# t0_final_iso,2023-05-15T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,9c0dfa708fc5e297
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-05-15T10:00:00+00:00Z,2023-05-15T11:00:00+00:00Z,0.005,0.024,0.005,0.00625,170912700.15,1645803.72811001,0,0,0
2023-05-15T11:00:00+00:00Z,2023-05-15T12:00:00+00:00Z,0.00625,0.0068,0.00593,0.006218,13938269.87,86805.26817396,0,0,0
2023-05-15T12:00:00+00:00Z,2023-05-15T13:00:00+00:00Z,0.006218,0.006851,0.006203,0.006478,7673155.63,49840.90384917,0,0,0
2023-05-15T13:00:00+00:00Z,2023-05-15T14:00:00+00:00Z,0.006478,0.0066,0.005555,0.005587,8850762.63,53256.98756175,0,0,0
2023-05-15T14:00:00+00:00Z,2023-05-15T15:00:00+00:00Z,0.005587,0.00588,0.005575,0.005671,3482063.66,19812.2544279,0,0,0
2023-05-15T15:00:00+00:00Z,2023-05-15T16:00:00+00:00Z,0.005671,0.00585,0.0055,0.00558,3482034.09,19597.61677621,0,0,0
2023-05-15T16:00:00+00:00Z,2023-05-15T17:00:00+00:00Z,0.00558,0.005803,0.005296,0.0056,4479470.58,24640.91224136,0,0,0
2023-05-15T17:00:00+00:00Z,2023-05-15T18:00:00+00:00Z,0.0056,0.005999,0.0054,0.005772,2546369.0,14603.3831249,0,0,0
2023-05-15T18:00:00+00:00Z,2023-05-15T19:00:00+00:00Z,0.005772,0.006048,0.005631,0.005962,2110157.61,12474.87169757,0,0,0
2023-05-15T19:00:00+00:00Z,2023-05-15T20:00:00+00:00Z,0.005962,0.0062,0.005911,0.005981,2667552.86,16340.85428229,0,0,0
2023-05-15T20:00:00+00:00Z,2023-05-15T21:00:00+00:00Z,0.005981,0.006095,0.005845,0.005908,904112.06,5368.12837065,0,0,0
2023-05-15T21:00:00+00:00Z,2023-05-15T22:00:00+00:00Z,0.005908,0.005973,0.0058,0.005828,643762.26,3761.5748995,0,0,0
2023-05-15T22:00:00+00:00Z,2023-05-15T23:00:00+00:00Z,0.005828,0.006774,0.0057,0.006262,3779803.04,23029.53625507,0,0,0
2023-05-15T23:00:00+00:00Z,2023-05-16T00:00:00+00:00Z,0.006262,0.006391,0.005742,0.006071,2538041.37,15337.93819178,0,0,0
2023-05-16T00:00:00+00:00Z,2023-05-16T01:00:00+00:00Z,0.006071,0.006071,0.005781,0.005835,1332121.99,7833.15111668,0,0,0
2023-05-16T01:00:00+00:00Z,2023-05-16T02:00:00+00:00Z,0.005835,0.005893,0.005564,0.005721,1487958.23,8503.18592448,0,0,0
2023-05-16T02:00:00+00:00Z,2023-05-16T03:00:00+00:00Z,0.005721,0.005728,0.005564,0.005565,605848.24,3408.34110996,0,0,0
2023-05-16T03:00:00+00:00Z,2023-05-16T04:00:00+00:00Z,0.005565,0.00588,0.0055,0.005671,604372.59,3378.05630743,0,0,0
2023-05-16T04:00:00+00:00Z,2023-05-16T05:00:00+00:00Z,0.005671,0.0059,0.0055,0.005578,1428551.35,8112.96641554,0,0,0
2023-05-16T05:00:00+00:00Z,2023-05-16T06:00:00+00:00Z,0.005578,0.0058,0.0055,0.005735,1619653.24,9106.57588886,0,0,0
2023-05-16T06:00:00+00:00Z,2023-05-16T07:00:00+00:00Z,0.005735,0.005788,0.005405,0.005725,2444285.29,13617.76484272,0,0,0
2023-05-16T07:00:00+00:00Z,2023-05-16T08:00:00+00:00Z,0.005725,0.005825,0.00525,0.005477,3401769.28,18647.46468052,0,0,0
2023-05-16T08:00:00+00:00Z,2023-05-16T09:00:00+00:00Z,0.005477,0.00553,0.004975,0.004984,6746300.45,34712.61129971,0,0,0
2023-05-16T09:00:00+00:00Z,2023-05-16T10:00:00+00:00Z,0.004984,0.00545,0.004973,0.005067,2012747.91,10160.83066038,0,0,0
2023-05-16T10:00:00+00:00Z,2023-05-16T11:00:00+00:00Z,0.005067,0.005242,0.00499,0.005012,1927889.25,9832.09590179,0,0,0
2023-05-16T11:00:00+00:00Z,2023-05-16T12:00:00+00:00Z,0.005012,0.00508,0.0046,0.004824,3590774.24,17223.71057097,0,0,0
2023-05-16T12:00:00+00:00Z,2023-05-16T13:00:00+00:00Z,0.004824,0.005033,0.0046,0.004616,4291051.23,20878.47584208,0,0,0
2023-05-16T13:00:00+00:00Z,2023-05-16T14:00:00+00:00Z,0.004616,0.00485,0.0045,0.00451,2161860.03,9935.36100405,0,0,0
2023-05-16T14:00:00+00:00Z,2023-05-16T15:00:00+00:00Z,0.00451,0.004666,0.004382,0.00444,3391210.56,15221.94004068,0,0,0
2023-05-16T15:00:00+00:00Z,2023-05-16T16:00:00+00:00Z,0.00444,0.00454,0.00403,0.004439,3852682.55,16437.40009564,0,0,0
