# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,TUSDUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2023-11-07T08:00:00+00:00Z
# t0_final_iso,2023-11-07T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,7d3a29806c354873
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-11-07T08:00:00+00:00Z,2023-11-07T09:00:00+00:00Z,0.999,0.9997,0.9938,0.9979,240581.77,240055.929568,0,0,0
2023-11-07T09:00:00+00:00Z,2023-11-07T10:00:00+00:00Z,0.9979,0.9985,0.9973,0.9978,43091.24,42999.511906,0,0,0
2023-11-07T10:00:00+00:00Z,2023-11-07T11:00:00+00:00Z,0.9978,0.9978,0.9967,0.9974,35910.22,35816.937296,0,0,0
2023-11-07T11:00:00+00:00Z,2023-11-07T12:00:00+00:00Z,0.9974,0.998,0.9972,0.9973,20800.51,20747.487327,0,0,0
2023-11-07T12:00:00+00:00Z,2023-11-07T13:00:00+00:00Z,0.9973,0.9984,0.9973,0.9981,34094.0,34021.784745,0,0,0
2023-11-07T13:00:00+00:00Z,2023-11-07T14:00:00+00:00Z,0.9981,0.9984,0.9974,0.9983,58226.8,58112.948673,0,0,0
2023-11-07T14:00:00+00:00Z,2023-11-07T15:00:00+00:00Z,0.9983,0.9989,0.9975,0.9983,53741.21,53643.999244,0,0,0
2023-11-07T15:00:00+00:00Z,2023-11-07T16:00:00+00:00Z,0.9983,0.9989,0.9978,0.9983,53987.07,53898.880908,0,0,0
2023-11-07T16:00:00+00:00Z,2023-11-07T17:00:00+00:00Z,0.9983,0.9992,0.9979,0.9988,31156.96,31123.48596,0,0,0
2023-11-07T17:00:00+00:00Z,2023-11-07T18:00:00+00:00Z,0.9988,0.9993,0.9979,0.9982,30093.51,30057.664411,0,0,0
2023-11-07T18:00:00+00:00Z,2023-11-07T19:00:00+00:00Z,0.9982,0.9992,0.9982,0.9985,20738.96,20711.565097,0,0,0
2023-11-07T19:00:00+00:00Z,2023-11-07T20:00:00+00:00Z,0.9985,0.9991,0.9983,0.999,6089.98,6081.607698,0,0,0
