# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,USD1USDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-07-09T10:00:00+00:00Z
# t0_final_iso,2025-07-09T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,2bff1ffd249d0de8
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-07-09T10:00:00+00:00Z,2025-07-09T11:00:00+00:00Z,0.9999,1.0085,0.9997,0.9998,1476188.28,1478609.398263,0,0,0
2025-07-09T11:00:00+00:00Z,2025-07-09T12:00:00+00:00Z,0.9998,1.0001,0.9997,0.9999,1315786.39,1315616.228855,0,0,0
2025-07-09T12:00:00+00:00Z,2025-07-09T13:00:00+00:00Z,0.9999,1.0015,0.9998,1.0,1106554.9,1106810.308471,0,0,0
2025-07-09T13:00:00+00:00Z,2025-07-09T14:00:00+00:00Z,1.0,1.0003,0.9999,1.0,1285351.47,1285444.340381,0,0,0
2025-07-09T14:00:00+00:00Z,2025-07-09T15:00:00+00:00Z,1.0,1.0002,0.9999,1.0001,1250377.26,1250444.66796,0,0,0
2025-07-09T15:00:00+00:00Z,2025-07-09T16:00:00+00:00Z,1.0001,1.0003,1.0,1.0001,1348175.25,1348372.782026,0,0,0
2025-07-09T16:00:00+00:00Z,2025-07-09T17:00:00+00:00Z,1.0001,1.0004,1.0,1.0001,691330.13,691466.484484,0,0,0
2025-07-09T17:00:00+00:00Z,2025-07-09T18:00:00+00:00Z,1.0001,1.0004,1.0,1.0001,875353.89,875519.198297,0,0,0
2025-07-09T18:00:00+00:00Z,2025-07-09T19:00:00+00:00Z,1.0001,1.0005,1.0,1.0001,739368.05,739463.87508,0,0,0
2025-07-09T19:00:00+00:00Z,2025-07-09T20:00:00+00:00Z,1.0001,1.0002,1.0,1.0001,2138400.32,2138591.522443,0,0,0
2025-07-09T20:00:00+00:00Z,2025-07-09T21:00:00+00:00Z,1.0001,1.0002,0.9998,0.9999,780617.68,780661.602734,0,0,0
2025-07-09T21:00:00+00:00Z,2025-07-09T22:00:00+00:00Z,0.9999,1.0001,0.9998,0.9999,294054.5,294040.482029,0,0,0
2025-07-09T22:00:00+00:00Z,2025-07-09T23:00:00+00:00Z,0.9999,1.0001,0.9998,1.0,399323.0,399302.424857,0,0,0
2025-07-09T23:00:00+00:00Z,2025-07-10T00:00:00+00:00Z,1.0,1.0001,0.9999,1.0,112126.8,112121.908602,0,0,0
2025-07-10T00:00:00+00:00Z,2025-07-10T01:00:00+00:00Z,1.0,1.0001,0.9999,1.0,108663.52,108662.174717,0,0,0
2025-07-10T01:00:00+00:00Z,2025-07-10T02:00:00+00:00Z,1.0,1.0001,0.9999,0.9999,158750.87,158745.198259,0,0,0
2025-07-10T02:00:00+00:00Z,2025-07-10T03:00:00+00:00Z,0.9999,1.0001,0.9999,0.9999,411172.15,411158.981335,0,0,0
2025-07-10T03:00:00+00:00Z,2025-07-10T04:00:00+00:00Z,0.9999,1.0001,0.9999,0.9999,579840.82,579824.138414,0,0,0
2025-07-10T04:00:00+00:00Z,2025-07-10T05:00:00+00:00Z,0.9999,1.0,0.9997,0.9997,422816.05,422739.28347,0,0,0
2025-07-10T05:00:00+00:00Z,2025-07-10T06:00:00+00:00Z,0.9997,0.9999,0.9996,0.9999,778402.17,778218.964698,0,0,0
2025-07-10T06:00:00+00:00Z,2025-07-10T07:00:00+00:00Z,0.9999,0.9999,0.9997,0.9998,291087.49,291039.603981,0,0,0
2025-07-10T07:00:00+00:00Z,2025-07-10T08:00:00+00:00Z,0.9998,1.0,0.9998,1.0,484191.3,484164.6955,0,0,0
2025-07-10T08:00:00+00:00Z,2025-07-10T09:00:00+00:00Z,1.0,1.0,0.9999,1.0,573663.58,573634.010554,0,0,0
2025-07-10T09:00:00+00:00Z,2025-07-10T10:00:00+00:00Z,1.0,1.0001,0.9998,1.0,478594.44,478567.515379,0,0,0
2025-07-10T10:00:00+00:00Z,2025-07-10T11:00:00+00:00Z,1.0,1.0002,1.0,1.0,699678.1,699719.357826,0,0,0
2025-07-10T11:00:00+00:00Z,2025-07-10T12:00:00+00:00Z,1.0,1.0002,1.0,1.0001,455235.46,455273.041172,0,0,0
2025-07-10T12:00:00+00:00Z,2025-07-10T13:00:00+00:00Z,1.0001,1.0001,1.0,1.0001,302655.93,302670.031537,0,0,0
2025-07-10T13:00:00+00:00Z,2025-07-10T14:00:00+00:00Z,1.0001,1.0001,0.9998,1.0,277794.45,277779.38614,0,0,0
2025-07-10T14:00:00+00:00Z,2025-07-10T15:00:00+00:00Z,1.0,1.0,0.9998,0.9999,218988.52,218971.781804,0,0,0
2025-07-10T15:00:00+00:00Z,2025-07-10T16:00:00+00:00Z,0.9999,1.0,0.9997,0.9997,307290.48,307237.283373,0,0,0
2025-07-10T16:00:00+00:00Z,2025-07-10T17:00:00+00:00Z,0.9997,1.0,0.9997,1.0,215772.27,215743.834579,0,0,0
2025-07-10T17:00:00+00:00Z,2025-07-10T18:00:00+00:00Z,1.0,1.0,0.9996,0.9998,306136.5,306062.114451,0,0,0
2025-07-10T18:00:00+00:00Z,2025-07-10T19:00:00+00:00Z,0.9998,0.9999,0.9995,0.9996,257907.21,257852.385525,0,0,0
2025-07-10T19:00:00+00:00Z,2025-07-10T20:00:00+00:00Z,0.9996,0.9996,0.9995,0.9995,275173.71,275050.61593,0,0,0
2025-07-10T20:00:00+00:00Z,2025-07-10T21:00:00+00:00Z,0.9995,0.9996,0.9995,0.9996,468537.62,468326.811338,0,0,0
2025-07-10T21:00:00+00:00Z,2025-07-10T22:00:00+00:00Z,0.9996,0.9996,0.9995,0.9995,109882.47,109834.016188,0,0,0
2025-07-10T22:00:00+00:00Z,2025-07-10T23:00:00+00:00Z,0.9995,0.9996,0.9993,0.9995,199278.33,199185.250325,0,0,0
2025-07-10T23:00:00+00:00Z,2025-07-11T00:00:00+00:00Z,0.9995,0.9999,0.9995,0.9998,137248.17,137195.224387,0,0,0
2025-07-11T00:00:00+00:00Z,2025-07-11T01:00:00+00:00Z,0.9998,0.9999,0.9997,0.9998,374225.93,374155.595103,0,0,0
2025-07-11T01:00:00+00:00Z,2025-07-11T02:00:00+00:00Z,0.9998,0.9999,0.9997,0.9998,324310.04,324252.130277,0,0,0
2025-07-11T02:00:00+00:00Z,2025-07-11T03:00:00+00:00Z,0.9998,0.9998,0.9997,0.9998,502838.62,502712.810027,0,0,0
2025-07-11T03:00:00+00:00Z,2025-07-11T04:00:00+00:00Z,0.9998,0.9998,0.9997,0.9998,288525.35,288453.204739,0,0,0
2025-07-11T04:00:00+00:00Z,2025-07-11T05:00:00+00:00Z,0.9998,0.9998,0.9997,0.9997,462496.07,462380.498269,0,0,0
2025-07-11T05:00:00+00:00Z,2025-07-11T06:00:00+00:00Z,0.9997,0.9998,0.9997,0.9998,1148110.48,1147824.987147,0,0,0
2025-07-11T06:00:00+00:00Z,2025-07-11T07:00:00+00:00Z,0.9998,0.9998,0.9997,0.9997,584697.51,584550.387018,0,0,0
2025-07-11T07:00:00+00:00Z,2025-07-11T08:00:00+00:00Z,0.9997,0.9998,0.9997,0.9997,634890.5,634731.656011,0,0,0
2025-07-11T08:00:00+00:00Z,2025-07-11T09:00:00+00:00Z,0.9997,1.0,0.9996,0.9998,2938055.55,2937394.959654,0,0,0
2025-07-11T09:00:00+00:00Z,2025-07-11T10:00:00+00:00Z,0.9998,0.9998,0.9996,0.9996,1013574.68,1013220.689968,0,0,0
2025-07-11T10:00:00+00:00Z,2025-07-11T11:00:00+00:00Z,0.9996,0.9997,0.9996,0.9996,499807.89,499626.284396,0,0,0
2025-07-11T11:00:00+00:00Z,2025-07-11T12:00:00+00:00Z,0.9996,0.9997,0.9996,0.9996,460661.36,460493.121104,0,0,0
2025-07-11T12:00:00+00:00Z,2025-07-11T13:00:00+00:00Z,0.9996,0.9998,0.9995,0.9996,3180766.06,3179631.756474,0,0,0
2025-07-11T13:00:00+00:00Z,2025-07-11T14:00:00+00:00Z,0.9996,0.9999,0.9996,0.9999,448358.88,448246.720915,0,0,0
2025-07-11T14:00:00+00:00Z,2025-07-11T15:00:00+00:00Z,0.9999,0.9999,0.9998,0.9998,356449.08,356395.594233,0,0,0
2025-07-11T15:00:00+00:00Z,2025-07-11T16:00:00+00:00Z,0.9998,0.9999,0.9998,0.9999,233392.75,233355.665799,0,0,0
2025-07-11T16:00:00+00:00Z,2025-07-11T17:00:00+00:00Z,0.9999,0.9999,0.9998,0.9998,151413.51,151389.907285,0,0,0
2025-07-11T17:00:00+00:00Z,2025-07-11T18:00:00+00:00Z,0.9998,0.9999,0.9996,0.9997,1541823.09,1541384.252215,0,0,0
2025-07-11T18:00:00+00:00Z,2025-07-11T19:00:00+00:00Z,0.9997,0.9997,0.9996,0.9997,178197.12,178134.687584,0,0,0
2025-07-11T19:00:00+00:00Z,2025-07-11T20:00:00+00:00Z,0.9997,0.9997,0.9996,0.9997,130112.8,130067.19555,0,0,0
2025-07-11T20:00:00+00:00Z,2025-07-11T21:00:00+00:00Z,0.9997,0.9997,0.9996,0.9997,144295.78,144244.261834,0,0,0
2025-07-11T21:00:00+00:00Z,2025-07-11T22:00:00+00:00Z,0.9997,0.9997,0.9996,0.9996,87662.95,87631.730375,0,0,0
2025-07-11T22:00:00+00:00Z,2025-07-11T23:00:00+00:00Z,0.9996,0.9997,0.9996,0.9997,34277.07,34264.769688,0,0,0
2025-07-11T23:00:00+00:00Z,2025-07-12T00:00:00+00:00Z,0.9997,0.9997,0.9995,0.9996,24868.91,24859.247801,0,0,0
