# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,USDRUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-04-03T08:00:00+00:00Z
# t0_final_iso,2025-04-03T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,1da7f653a67675de
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-04-03T08:00:00+00:00Z,2025-04-03T09:00:00+00:00Z,0.999,1.0005,0.999,0.9995,5.5,5.50025,0,0,0
2025-04-03T09:00:00+00:00Z,2025-04-03T10:00:00+00:00Z,0.9995,0.9995,0.9995,0.9995,0.0,0.0,0,0,0
2025-04-03T10:00:00+00:00Z,2025-04-03T11:00:00+00:00Z,0.9995,0.9995,0.9995,0.9995,0.0,0.0,0,0,0
2025-04-03T11:00:00+00:00Z,2025-04-03T12:00:00+00:00Z,0.9995,1.003,0.9995,1.003,50047.83,50122.98099,0,0,0
2025-04-03T12:00:00+00:00Z,2025-04-03T13:00:00+00:00Z,1.003,1.003,1.003,1.003,0.0,0.0,0,0,0
2025-04-03T13:00:00+00:00Z,2025-04-03T14:00:00+00:00Z,1.003,1.003,1.003,1.003,0.0,0.0,0,0,0
2025-04-03T14:00:00+00:00Z,2025-04-03T15:00:00+00:00Z,1.003,1.003,1.003,1.003,0.0,0.0,0,0,0
2025-04-03T15:00:00+00:00Z,2025-04-03T16:00:00+00:00Z,1.003,1.003,0.9995,0.9995,19.6,19.5902,0,0,0
2025-04-03T16:00:00+00:00Z,2025-04-03T17:00:00+00:00Z,0.9995,0.9995,0.9995,0.9995,2.99,2.988505,0,0,0
2025-04-03T17:00:00+00:00Z,2025-04-03T18:00:00+00:00Z,0.9995,0.9995,0.9995,0.9995,0.0,0.0,0,0,0
2025-04-03T18:00:00+00:00Z,2025-04-03T19:00:00+00:00Z,0.9995,0.9995,0.9995,0.9995,0.0,0.0,0,0,0
2025-04-03T19:00:00+00:00Z,2025-04-03T20:00:00+00:00Z,0.9995,0.9995,0.9995,0.9995,0.0,0.0,0,0,0
2025-04-03T20:00:00+00:00Z,2025-04-03T21:00:00+00:00Z,0.9995,0.9995,0.9995,0.9995,0.0,0.0,0,0,0
