# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,UUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-09-04T09:00:00+00:00Z
# t0_final_iso,2025-09-04T09:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,3ae1ee3f85c9d5f3
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-09-04T09:00:00+00:00Z,2025-09-04T10:00:00+00:00Z,0.005,0.0358,0.005,0.011124,24832844.1,323412.6396552,0,0,0
2025-09-04T10:00:00+00:00Z,2025-09-04T11:00:00+00:00Z,0.011124,0.01152,0.0105,0.010636,9419341.0,103603.7139103,0,0,0
2025-09-04T11:00:00+00:00Z,2025-09-04T12:00:00+00:00Z,0.010636,0.010638,0.0082,0.009435,28664636.9,267272.8926407,0,0,0
2025-09-04T12:00:00+00:00Z,2025-09-04T13:00:00+00:00Z,0.009435,0.0109,0.009236,0.010278,18271965.7,181451.0935241,0,0,0
2025-09-04T13:00:00+00:00Z,2025-09-04T14:00:00+00:00Z,0.010278,0.010931,0.009876,0.010429,7473840.1,78114.5319539,0,0,0
2025-09-04T14:00:00+00:00Z,2025-09-04T15:00:00+00:00Z,0.010429,0.010429,0.009679,0.010005,4656967.4,46331.9330788,0,0,0
2025-09-04T15:00:00+00:00Z,2025-09-04T16:00:00+00:00Z,0.010005,0.010571,0.010005,0.010524,6692431.7,69418.7101668,0,0,0
2025-09-04T16:00:00+00:00Z,2025-09-04T17:00:00+00:00Z,0.010524,0.0138,0.0105,0.011102,21911328.0,265615.8191468,0,0,0
2025-09-04T17:00:00+00:00Z,2025-09-04T18:00:00+00:00Z,0.011102,0.0125,0.010883,0.011465,7697603.3,89222.5508918,0,0,0
2025-09-04T18:00:00+00:00Z,2025-09-04T19:00:00+00:00Z,0.011465,0.011508,0.01116,0.011403,4594285.6,52092.5102643,0,0,0
2025-09-04T19:00:00+00:00Z,2025-09-04T20:00:00+00:00Z,0.011403,0.011781,0.011382,0.01157,5995359.6,69717.0806577,0,0,0
2025-09-04T20:00:00+00:00Z,2025-09-04T21:00:00+00:00Z,0.01157,0.013,0.011568,0.012109,15053162.4,184903.9613856,0,0,0
2025-09-04T21:00:00+00:00Z,2025-09-04T22:00:00+00:00Z,0.012109,0.012109,0.011627,0.011802,10314732.5,122212.3525177,0,0,0
2025-09-04T22:00:00+00:00Z,2025-09-04T23:00:00+00:00Z,0.011802,0.011833,0.011541,0.011541,1445406.1,16876.1407625,0,0,0
2025-09-04T23:00:00+00:00Z,2025-09-05T00:00:00+00:00Z,0.011541,0.011576,0.011276,0.011276,1819113.5,20709.4845083,0,0,0
2025-09-05T00:00:00+00:00Z,2025-09-05T01:00:00+00:00Z,0.011276,0.011477,0.011276,0.011442,1703327.3,19354.3294494,0,0,0
2025-09-05T01:00:00+00:00Z,2025-09-05T02:00:00+00:00Z,0.011442,0.011713,0.011442,0.011587,1868960.0,21700.3645746,0,0,0
2025-09-05T02:00:00+00:00Z,2025-09-05T03:00:00+00:00Z,0.011587,0.011616,0.011359,0.011359,1034553.4,11868.6779862,0,0,0
2025-09-05T03:00:00+00:00Z,2025-09-05T04:00:00+00:00Z,0.011359,0.01142,0.011349,0.011349,543902.6,6190.5521336,0,0,0
2025-09-05T04:00:00+00:00Z,2025-09-05T05:00:00+00:00Z,0.011349,0.011349,0.010872,0.010872,4580177.4,51126.372129,0,0,0
2025-09-05T05:00:00+00:00Z,2025-09-05T06:00:00+00:00Z,0.010872,0.01088,0.010389,0.010389,4685407.4,49588.4246469,0,0,0
2025-09-05T06:00:00+00:00Z,2025-09-05T07:00:00+00:00Z,0.010389,0.010701,0.009783,0.010692,9009879.6,93425.3647372,0,0,0
2025-09-05T07:00:00+00:00Z,2025-09-05T08:00:00+00:00Z,0.010692,0.010727,0.010364,0.010364,2730877.9,28818.8521452,0,0,0
2025-09-05T08:00:00+00:00Z,2025-09-05T09:00:00+00:00Z,0.010364,0.010538,0.010364,0.010497,2930401.7,30732.980563,0,0,0
2025-09-05T09:00:00+00:00Z,2025-09-05T10:00:00+00:00Z,0.010497,0.010525,0.010036,0.010475,3374420.4,34921.8287511,0,0,0
2025-09-05T10:00:00+00:00Z,2025-09-05T11:00:00+00:00Z,0.010475,0.010477,0.010307,0.010445,2107603.8,21868.9008193,0,0,0
2025-09-05T11:00:00+00:00Z,2025-09-05T12:00:00+00:00Z,0.010445,0.011311,0.010445,0.01085,9565385.3,104706.2576443,0,0,0
2025-09-05T12:00:00+00:00Z,2025-09-05T13:00:00+00:00Z,0.01085,0.01085,0.0105,0.0105,2306068.1,24662.5090366,0,0,0
2025-09-05T13:00:00+00:00Z,2025-09-05T14:00:00+00:00Z,0.0105,0.010768,0.01044,0.010768,2952745.5,31182.3050235,0,0,0
2025-09-05T14:00:00+00:00Z,2025-09-05T15:00:00+00:00Z,0.010768,0.01094,0.010652,0.010656,2943289.6,31841.6110691,0,0,0
2025-09-05T15:00:00+00:00Z,2025-09-05T16:00:00+00:00Z,0.010656,0.010659,0.010381,0.010382,3126846.6,32818.4043133,0,0,0
2025-09-05T16:00:00+00:00Z,2025-09-05T17:00:00+00:00Z,0.010382,0.010434,0.010048,0.010343,2343907.3,24207.5454388,0,0,0
2025-09-05T17:00:00+00:00Z,2025-09-05T18:00:00+00:00Z,0.010343,0.010383,0.01,0.010017,2327105.9,23797.6992804,0,0,0
2025-09-05T18:00:00+00:00Z,2025-09-05T19:00:00+00:00Z,0.010017,0.01013,0.00996,0.010111,1312007.6,13152.3402153,0,0,0
2025-09-05T19:00:00+00:00Z,2025-09-05T20:00:00+00:00Z,0.010111,0.010338,0.010111,0.010227,1763834.0,18132.603191,0,0,0
2025-09-05T20:00:00+00:00Z,2025-09-05T21:00:00+00:00Z,0.010227,0.01025,0.010034,0.010086,654760.4,6619.5712495,0,0,0
2025-09-05T21:00:00+00:00Z,2025-09-05T22:00:00+00:00Z,0.010086,0.010305,0.0095,0.01016,2461200.2,24552.5540534,0,0,0
2025-09-05T22:00:00+00:00Z,2025-09-05T23:00:00+00:00Z,0.01016,0.01016,0.009572,0.009745,499819.5,4951.1226768,0,0,0
2025-09-05T23:00:00+00:00Z,2025-09-06T00:00:00+00:00Z,0.009745,0.009763,0.009485,0.009485,487672.6,4717.5637303,0,0,0
2025-09-06T00:00:00+00:00Z,2025-09-06T01:00:00+00:00Z,0.009485,0.009774,0.009219,0.009462,988042.9,9388.2806736,0,0,0
2025-09-06T01:00:00+00:00Z,2025-09-06T02:00:00+00:00Z,0.009462,0.00972,0.009378,0.00972,442931.3,4201.0363168,0,0,0
2025-09-06T02:00:00+00:00Z,2025-09-06T03:00:00+00:00Z,0.00972,0.009958,0.00944,0.0098,392695.6,3843.7735704,0,0,0
2025-09-06T03:00:00+00:00Z,2025-09-06T04:00:00+00:00Z,0.0098,0.01002,0.009489,0.009615,209006.1,2069.8749578,0,0,0
2025-09-06T04:00:00+00:00Z,2025-09-06T05:00:00+00:00Z,0.009615,0.009846,0.009581,0.00964,49228.6,475.4230404,0,0,0
2025-09-06T05:00:00+00:00Z,2025-09-06T06:00:00+00:00Z,0.00964,0.010295,0.00964,0.009892,4482456.8,44766.793873,0,0,0
2025-09-06T06:00:00+00:00Z,2025-09-06T07:00:00+00:00Z,0.009892,0.009899,0.009673,0.00972,570675.5,5579.4626114,0,0,0
2025-09-06T07:00:00+00:00Z,2025-09-06T08:00:00+00:00Z,0.00972,0.00973,0.009681,0.009707,259094.5,2510.7316907,0,0,0
