# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,VANAUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-12-16T11:00:00+00:00Z
# t0_final_iso,2024-12-16T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,6504b8c5d3f7c240
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-12-16T11:00:00+00:00Z,2024-12-16T12:00:00+00:00Z,0.8,29.8,0.8,26.2199,384375.66,9942005.148572,0,0,0
2024-12-16T12:00:00+00:00Z,2024-12-16T13:00:00+00:00Z,26.2199,30.2589,24.8702,28.4445,538857.57,15018284.52593,0,0,0
2024-12-16T13:00:00+00:00Z,2024-12-16T14:00:00+00:00Z,28.4445,29.8698,25.6808,25.9478,610787.23,16786010.151658,0,0,0
2024-12-16T14:00:00+00:00Z,2024-12-16T15:00:00+00:00Z,25.9478,26.25,24.3922,24.9,337378.07,8513405.332273,0,0,0
2024-12-16T15:00:00+00:00Z,2024-12-16T16:00:00+00:00Z,24.9,27.9646,24.897,27.7138,382349.73,10008459.994265,0,0,0
2024-12-16T16:00:00+00:00Z,2024-12-16T17:00:00+00:00Z,27.7138,28.4801,26.1,26.7912,325310.88,8835056.771597,0,0,0
2024-12-16T17:00:00+00:00Z,2024-12-16T18:00:00+00:00Z,26.7912,28.25,26.7296,27.7506,248732.65,6802297.837341,0,0,0
2024-12-16T18:00:00+00:00Z,2024-12-16T19:00:00+00:00Z,27.7506,30.0,27.7,29.7912,294039.65,8528048.57186,0,0,0
2024-12-16T19:00:00+00:00Z,2024-12-16T20:00:00+00:00Z,29.7912,32.9419,28.9001,32.0182,262122.68,8206906.257005,0,0,0
2024-12-16T20:00:00+00:00Z,2024-12-16T21:00:00+00:00Z,32.0182,34.835,32.0,33.8867,265373.13,9075589.81714,0,0,0
2024-12-16T21:00:00+00:00Z,2024-12-16T22:00:00+00:00Z,33.8867,34.8958,31.7871,34.4372,160184.09,5343782.653216,0,0,0
2024-12-16T22:00:00+00:00Z,2024-12-16T23:00:00+00:00Z,34.4372,34.82,32.9641,33.8063,135620.91,4598662.069999,0,0,0
2024-12-16T23:00:00+00:00Z,2024-12-17T00:00:00+00:00Z,33.8063,34.6701,33.5144,34.4053,144637.16,4944168.91758,0,0,0
2024-12-17T00:00:00+00:00Z,2024-12-17T01:00:00+00:00Z,34.4053,35.624,28.6069,30.4142,316293.15,10328492.925393,0,0,0
2024-12-17T01:00:00+00:00Z,2024-12-17T02:00:00+00:00Z,30.4142,30.6165,24.9452,25.964,326652.25,8837547.087205,0,0,0
2024-12-17T02:00:00+00:00Z,2024-12-17T03:00:00+00:00Z,25.964,26.9229,22.1309,22.6465,191686.37,4662781.956511,0,0,0
2024-12-17T03:00:00+00:00Z,2024-12-17T04:00:00+00:00Z,22.6465,23.7634,22.0567,23.4654,188048.19,4326710.547862,0,0,0
2024-12-17T04:00:00+00:00Z,2024-12-17T05:00:00+00:00Z,23.4654,23.5902,22.1482,22.713,140809.62,3219164.260825,0,0,0
2024-12-17T05:00:00+00:00Z,2024-12-17T06:00:00+00:00Z,22.713,24.1978,22.4549,23.4665,162975.93,3791543.527297,0,0,0
2024-12-17T06:00:00+00:00Z,2024-12-17T07:00:00+00:00Z,23.4665,23.8875,22.8277,23.1675,126833.5,2956639.458392,0,0,0
