# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,VANRYUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-12-07T10:00:00+00:00Z
# t0_final_iso,2023-12-07T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,b6d4b4beb1f06b4d
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-12-07T10:00:00+00:00Z,2023-12-07T11:00:00+00:00Z,0.06,0.127,0.06,0.06326,19391225.05,1496012.1969687,0,0,0
2023-12-07T11:00:00+00:00Z,2023-12-07T12:00:00+00:00Z,0.06326,0.064,0.06109,0.0636,2227331.44,140284.7493602,0,0,0
2023-12-07T12:00:00+00:00Z,2023-12-07T13:00:00+00:00Z,0.0636,0.06415,0.062,0.06377,611057.93,38425.8688472,0,0,0
2023-12-07T13:00:00+00:00Z,2023-12-07T14:00:00+00:00Z,0.06377,0.06496,0.063,0.0634,698365.14,44563.3124751,0,0,0
2023-12-07T14:00:00+00:00Z,2023-12-07T15:00:00+00:00Z,0.0634,0.06495,0.06161,0.06381,838267.24,53098.1514842,0,0,0
2023-12-07T15:00:00+00:00Z,2023-12-07T16:00:00+00:00Z,0.06381,0.06399,0.06123,0.06287,1034622.51,65103.6727086,0,0,0
2023-12-07T16:00:00+00:00Z,2023-12-07T17:00:00+00:00Z,0.06287,0.0635,0.06123,0.06215,1041301.42,64588.8746405,0,0,0
2023-12-07T17:00:00+00:00Z,2023-12-07T18:00:00+00:00Z,0.06215,0.0639,0.05561,0.06189,520212.16,32374.5559209,0,0,0
2023-12-07T18:00:00+00:00Z,2023-12-07T19:00:00+00:00Z,0.06189,0.06321,0.0618,0.06224,161563.2,10067.0931885,0,0,0
2023-12-07T19:00:00+00:00Z,2023-12-07T20:00:00+00:00Z,0.06224,0.063,0.06132,0.06212,149931.59,9306.1850023,0,0,0
2023-12-07T20:00:00+00:00Z,2023-12-07T21:00:00+00:00Z,0.06212,0.06272,0.0611,0.06156,188819.73,11672.3504776,0,0,0
2023-12-07T21:00:00+00:00Z,2023-12-07T22:00:00+00:00Z,0.06156,0.06299,0.05898,0.06277,278361.27,17164.2172249,0,0,0
2023-12-07T22:00:00+00:00Z,2023-12-07T23:00:00+00:00Z,0.06277,0.06281,0.06183,0.06199,49105.96,3047.293615,0,0,0
2023-12-07T23:00:00+00:00Z,2023-12-08T00:00:00+00:00Z,0.06199,0.06379,0.06177,0.0626,260586.12,16404.4068934,0,0,0
2023-12-08T00:00:00+00:00Z,2023-12-08T01:00:00+00:00Z,0.0626,0.06309,0.06206,0.06262,73696.76,4621.0501063,0,0,0
2023-12-08T01:00:00+00:00Z,2023-12-08T02:00:00+00:00Z,0.06262,0.064,0.0625,0.06375,158511.59,10077.4832263,0,0,0
2023-12-08T02:00:00+00:00Z,2023-12-08T03:00:00+00:00Z,0.06375,0.06555,0.06226,0.06436,355467.41,22720.972533,0,0,0
2023-12-08T03:00:00+00:00Z,2023-12-08T04:00:00+00:00Z,0.06436,0.06555,0.06196,0.0633,300607.03,19315.7221989,0,0,0
2023-12-08T04:00:00+00:00Z,2023-12-08T05:00:00+00:00Z,0.0633,0.06525,0.06253,0.06461,214426.76,13646.573538,0,0,0
2023-12-08T05:00:00+00:00Z,2023-12-08T06:00:00+00:00Z,0.06461,0.06464,0.0623,0.063,144026.61,9145.5456507,0,0,0
2023-12-08T06:00:00+00:00Z,2023-12-08T07:00:00+00:00Z,0.063,0.065,0.06204,0.06299,214773.0,13542.2663317,0,0,0
2023-12-08T07:00:00+00:00Z,2023-12-08T08:00:00+00:00Z,0.06299,0.06466,0.06156,0.06199,306903.29,19176.6241461,0,0,0
2023-12-08T08:00:00+00:00Z,2023-12-08T09:00:00+00:00Z,0.06199,0.06361,0.06162,0.0628,196064.93,12232.9293642,0,0,0
2023-12-08T09:00:00+00:00Z,2023-12-08T10:00:00+00:00Z,0.0628,0.0628,0.06169,0.0619,212713.73,13174.2143829,0,0,0
2023-12-08T10:00:00+00:00Z,2023-12-08T11:00:00+00:00Z,0.0619,0.06369,0.06177,0.0618,156079.25,9711.4678461,0,0,0
2023-12-08T11:00:00+00:00Z,2023-12-08T12:00:00+00:00Z,0.0618,0.06379,0.06171,0.0634,126450.7,7949.8730075,0,0,0
2023-12-08T12:00:00+00:00Z,2023-12-08T13:00:00+00:00Z,0.0634,0.0635,0.06257,0.06324,69566.22,4397.8083811,0,0,0
2023-12-08T13:00:00+00:00Z,2023-12-08T14:00:00+00:00Z,0.06324,0.06337,0.06283,0.06301,99364.83,6256.8997789,0,0,0
2023-12-08T14:00:00+00:00Z,2023-12-08T15:00:00+00:00Z,0.06301,0.06301,0.06211,0.06249,28358.26,1772.364695,0,0,0
2023-12-08T15:00:00+00:00Z,2023-12-08T16:00:00+00:00Z,0.06249,0.06249,0.06092,0.0618,416977.59,25650.7824154,0,0,0
2023-12-08T16:00:00+00:00Z,2023-12-08T17:00:00+00:00Z,0.0618,0.063,0.06175,0.06255,60800.25,3781.5424438,0,0,0
2023-12-08T17:00:00+00:00Z,2023-12-08T18:00:00+00:00Z,0.06255,0.063,0.06199,0.06212,37877.71,2363.3174241,0,0,0
2023-12-08T18:00:00+00:00Z,2023-12-08T19:00:00+00:00Z,0.06212,0.06299,0.06212,0.0627,54328.44,3394.6486047,0,0,0
2023-12-08T19:00:00+00:00Z,2023-12-08T20:00:00+00:00Z,0.0627,0.06298,0.06268,0.06289,16530.03,1039.1893934,0,0,0
2023-12-08T20:00:00+00:00Z,2023-12-08T21:00:00+00:00Z,0.06289,0.06294,0.06214,0.06218,18601.38,1160.4421095,0,0,0
2023-12-08T21:00:00+00:00Z,2023-12-08T22:00:00+00:00Z,0.06218,0.06299,0.06215,0.06257,37035.96,2311.9627659,0,0,0
2023-12-08T22:00:00+00:00Z,2023-12-08T23:00:00+00:00Z,0.06257,0.06293,0.06238,0.06238,44720.74,2799.4436336,0,0,0
2023-12-08T23:00:00+00:00Z,2023-12-09T00:00:00+00:00Z,0.06238,0.06301,0.06166,0.06212,34239.64,2127.458736,0,0,0
2023-12-09T00:00:00+00:00Z,2023-12-09T01:00:00+00:00Z,0.06212,0.0625,0.06142,0.06163,49830.32,3071.7145777,0,0,0
2023-12-09T01:00:00+00:00Z,2023-12-09T02:00:00+00:00Z,0.06163,0.06199,0.06143,0.06183,23628.76,1458.205277,0,0,0
