# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,VVVUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-03-21T10:00:00+00:00Z
# t0_final_iso,2025-03-21T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,61edb206fc8e2c78
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-03-21T10:00:00+00:00Z,2025-03-21T11:00:00+00:00Z,2.0,3.5,2.0,3.276,103491.75,341865.26542,0,0,0
2025-03-21T11:00:00+00:00Z,2025-03-21T12:00:00+00:00Z,3.276,3.278,3.215,3.224,13318.59,43108.84754,0,0,0
2025-03-21T12:00:00+00:00Z,2025-03-21T13:00:00+00:00Z,3.224,3.255,3.178,3.18,35708.59,114644.15134,0,0,0
2025-03-21T13:00:00+00:00Z,2025-03-21T14:00:00+00:00Z,3.18,3.254,3.153,3.246,32983.44,105192.37855,0,0,0
2025-03-21T14:00:00+00:00Z,2025-03-21T15:00:00+00:00Z,3.246,3.25,3.198,3.216,7927.91,25556.76968,0,0,0
2025-03-21T15:00:00+00:00Z,2025-03-21T16:00:00+00:00Z,3.216,3.216,3.145,3.146,18812.84,59651.87348,0,0,0
2025-03-21T16:00:00+00:00Z,2025-03-21T17:00:00+00:00Z,3.146,3.177,3.114,3.177,5875.15,18447.66617,0,0,0
2025-03-21T17:00:00+00:00Z,2025-03-21T18:00:00+00:00Z,3.177,3.193,3.154,3.173,4466.96,14182.81445,0,0,0
2025-03-21T18:00:00+00:00Z,2025-03-21T19:00:00+00:00Z,3.173,3.2,3.149,3.171,3091.25,9817.09772,0,0,0
2025-03-21T19:00:00+00:00Z,2025-03-21T20:00:00+00:00Z,3.171,3.176,3.163,3.164,2076.11,6577.62507,0,0,0
2025-03-21T20:00:00+00:00Z,2025-03-21T21:00:00+00:00Z,3.164,3.194,3.141,3.155,15654.71,49631.11264,0,0,0
2025-03-21T21:00:00+00:00Z,2025-03-21T22:00:00+00:00Z,3.155,3.2,3.151,3.185,8944.85,28433.38247,0,0,0
2025-03-21T22:00:00+00:00Z,2025-03-21T23:00:00+00:00Z,3.185,3.194,3.146,3.162,3904.03,12377.46711,0,0,0
2025-03-21T23:00:00+00:00Z,2025-03-22T00:00:00+00:00Z,3.162,3.162,3.116,3.127,3122.36,9798.19566,0,0,0
2025-03-22T00:00:00+00:00Z,2025-03-22T01:00:00+00:00Z,3.127,3.17,3.127,3.164,5231.52,16450.18335,0,0,0
2025-03-22T01:00:00+00:00Z,2025-03-22T02:00:00+00:00Z,3.164,3.193,3.155,3.163,3261.03,10349.26437,0,0,0
2025-03-22T02:00:00+00:00Z,2025-03-22T03:00:00+00:00Z,3.163,3.201,3.146,3.161,6641.53,21075.61341,0,0,0
2025-03-22T03:00:00+00:00Z,2025-03-22T04:00:00+00:00Z,3.161,3.249,3.161,3.248,12267.71,39452.07166,0,0,0
2025-03-22T04:00:00+00:00Z,2025-03-22T05:00:00+00:00Z,3.248,3.29,3.209,3.232,15301.04,49645.78829,0,0,0
2025-03-22T05:00:00+00:00Z,2025-03-22T06:00:00+00:00Z,3.232,3.235,3.183,3.2,7198.8,23086.14222,0,0,0
2025-03-22T06:00:00+00:00Z,2025-03-22T07:00:00+00:00Z,3.2,3.218,3.182,3.193,1869.74,5985.40281,0,0,0
2025-03-22T07:00:00+00:00Z,2025-03-22T08:00:00+00:00Z,3.193,3.203,3.182,3.189,1936.52,6178.83635,0,0,0
2025-03-22T08:00:00+00:00Z,2025-03-22T09:00:00+00:00Z,3.189,3.218,3.184,3.189,5683.35,18223.76109,0,0,0
2025-03-22T09:00:00+00:00Z,2025-03-22T10:00:00+00:00Z,3.189,3.249,3.187,3.23,5406.97,17470.25285,0,0,0
2025-03-22T10:00:00+00:00Z,2025-03-22T11:00:00+00:00Z,3.23,3.264,3.225,3.239,3310.88,10718.0221,0,0,0
2025-03-22T11:00:00+00:00Z,2025-03-22T12:00:00+00:00Z,3.239,3.249,3.211,3.215,2703.19,8721.87429,0,0,0
