# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,WALUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-03-27T10:00:00+00:00Z
# t0_final_iso,2025-03-27T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,0735397ce22cf384
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-03-27T10:00:00+00:00Z,2025-03-27T11:00:00+00:00Z,0.2,1.0209,0.2,0.3695,37456416.1,15463333.29119,0,0,0
2025-03-27T11:00:00+00:00Z,2025-03-27T12:00:00+00:00Z,0.3695,0.4092,0.353,0.3967,18497317.1,7101292.61427,0,0,0
2025-03-27T12:00:00+00:00Z,2025-03-27T13:00:00+00:00Z,0.3967,0.4275,0.3815,0.4065,10242998.4,4117020.50225,0,0,0
2025-03-27T13:00:00+00:00Z,2025-03-27T14:00:00+00:00Z,0.4065,0.449,0.3925,0.431,9999475.6,4268960.99988,0,0,0
2025-03-27T14:00:00+00:00Z,2025-03-27T15:00:00+00:00Z,0.431,0.5645,0.431,0.5391,11732058.5,5655327.69941,0,0,0
2025-03-27T15:00:00+00:00Z,2025-03-27T16:00:00+00:00Z,0.5391,0.5749,0.4663,0.4841,13924868.9,7140759.76649,0,0,0
2025-03-27T16:00:00+00:00Z,2025-03-27T17:00:00+00:00Z,0.4841,0.5301,0.4794,0.515,8072534.0,4043598.29311,0,0,0
2025-03-27T17:00:00+00:00Z,2025-03-27T18:00:00+00:00Z,0.515,0.5317,0.4909,0.4982,4149972.9,2130120.38484,0,0,0
2025-03-27T18:00:00+00:00Z,2025-03-27T19:00:00+00:00Z,0.4982,0.542,0.4848,0.5366,3902383.0,2002785.29374,0,0,0
2025-03-27T19:00:00+00:00Z,2025-03-27T20:00:00+00:00Z,0.5366,0.6,0.5221,0.5912,6709844.1,3845912.18062,0,0,0
2025-03-27T20:00:00+00:00Z,2025-03-27T21:00:00+00:00Z,0.5912,0.5999,0.576,0.577,3155189.1,1854794.53065,0,0,0
2025-03-27T21:00:00+00:00Z,2025-03-27T22:00:00+00:00Z,0.577,0.5804,0.54,0.5639,2959489.6,1649444.40995,0,0,0
2025-03-27T22:00:00+00:00Z,2025-03-27T23:00:00+00:00Z,0.5639,0.6074,0.5551,0.6048,3188707.5,1878660.68642,0,0,0
2025-03-27T23:00:00+00:00Z,2025-03-28T00:00:00+00:00Z,0.6048,0.6144,0.506,0.5254,5409618.4,3015942.64213,0,0,0
2025-03-28T00:00:00+00:00Z,2025-03-28T01:00:00+00:00Z,0.5254,0.5635,0.4489,0.4871,9332520.1,4614658.74831,0,0,0
