# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,WBTCUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-04-07T10:00:00+00:00Z
# t0_final_iso,2022-04-07T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,1dc5a98dcd2aad68
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-04-07T10:00:00+00:00Z,2022-04-07T11:00:00+00:00Z,43283.45,43842.46,42844.2,43218.51,0.014959,650.82181764,0,0,0
2022-04-07T11:00:00+00:00Z,2022-04-07T12:00:00+00:00Z,43218.51,44000.0,43218.51,43562.56,0.015954,694.36682027,0,0,0
2022-04-07T12:00:00+00:00Z,2022-04-07T13:00:00+00:00Z,43562.56,44104.1,43414.96,43809.28,0.009415,412.68646462,0,0,0
2022-04-07T13:00:00+00:00Z,2022-04-07T14:00:00+00:00Z,43809.28,43963.97,43095.11,43700.0,0.010344,451.00068591,0,0,0
2022-04-07T14:00:00+00:00Z,2022-04-07T15:00:00+00:00Z,43700.0,43925.59,43062.73,43141.07,0.009126,397.69048714,0,0,0
2022-04-07T15:00:00+00:00Z,2022-04-07T16:00:00+00:00Z,43141.07,43862.46,42961.08,43541.66,0.009541,413.96816651,0,0,0
2022-04-07T16:00:00+00:00Z,2022-04-07T17:00:00+00:00Z,43541.66,43709.51,43150.0,43240.89,0.008929,387.60499157,0,0,0
2022-04-07T17:00:00+00:00Z,2022-04-07T18:00:00+00:00Z,43240.89,43959.3,43046.84,43324.47,0.009132,398.18639165,0,0,0
2022-04-07T18:00:00+00:00Z,2022-04-07T19:00:00+00:00Z,43324.47,44022.04,43302.22,43906.28,0.00935,408.27310005,0,0,0
2022-04-07T19:00:00+00:00Z,2022-04-07T20:00:00+00:00Z,43906.28,43939.15,42939.69,42939.69,0.010167,442.45896331,0,0,0
2022-04-07T20:00:00+00:00Z,2022-04-07T21:00:00+00:00Z,42939.69,43839.87,42939.69,43397.3,0.009656,420.05376168,0,0,0
2022-04-07T21:00:00+00:00Z,2022-04-07T22:00:00+00:00Z,43397.3,43961.33,43080.2,43290.86,0.00929,405.0298965,0,0,0
2022-04-07T22:00:00+00:00Z,2022-04-07T23:00:00+00:00Z,43290.86,44120.42,43225.04,44120.42,0.010187,443.97869853,0,0,0
2022-04-07T23:00:00+00:00Z,2022-04-08T00:00:00+00:00Z,44120.42,44120.42,43171.56,43273.53,0.009305,405.55101622,0,0,0
2022-04-08T00:00:00+00:00Z,2022-04-08T01:00:00+00:00Z,43273.53,43839.72,42939.59,43008.03,0.010257,444.99268491,0,0,0
2022-04-08T01:00:00+00:00Z,2022-04-08T02:00:00+00:00Z,43008.03,44073.62,42883.85,43422.28,0.009628,420.11839376,0,0,0
2022-04-08T02:00:00+00:00Z,2022-04-08T03:00:00+00:00Z,43422.28,43888.6,43221.13,43397.71,0.007891,343.6318704,0,0,0
2022-04-08T03:00:00+00:00Z,2022-04-08T04:00:00+00:00Z,43397.71,44056.86,43222.29,43419.0,0.007637,332.45898521,0,0,0
2022-04-08T04:00:00+00:00Z,2022-04-08T05:00:00+00:00Z,43419.0,44128.3,43348.36,43863.7,0.008575,374.1541491,0,0,0
2022-04-08T05:00:00+00:00Z,2022-04-08T06:00:00+00:00Z,43863.7,44250.98,43082.68,44095.76,0.009817,428.09239941,0,0,0
2022-04-08T06:00:00+00:00Z,2022-04-08T07:00:00+00:00Z,44095.76,44095.76,42972.42,43111.81,0.008777,380.8645249,0,0,0
2022-04-08T07:00:00+00:00Z,2022-04-08T08:00:00+00:00Z,43111.81,43900.59,43111.81,43830.56,0.008361,363.99844883,0,0,0
2022-04-08T08:00:00+00:00Z,2022-04-08T09:00:00+00:00Z,43830.56,44101.89,43305.71,43910.64,0.009622,420.01627369,0,0,0
2022-04-08T09:00:00+00:00Z,2022-04-08T10:00:00+00:00Z,43910.64,44271.65,43203.45,44034.22,0.007477,327.53880399,0,0,0
2022-04-08T10:00:00+00:00Z,2022-04-08T11:00:00+00:00Z,44034.22,44034.22,43179.28,43358.88,0.008684,378.55094119,0,0,0
2022-04-08T11:00:00+00:00Z,2022-04-08T12:00:00+00:00Z,43358.88,43702.59,42949.81,43699.46,0.009709,420.58043001,0,0,0
2022-04-08T12:00:00+00:00Z,2022-04-08T13:00:00+00:00Z,43699.46,43700.0,43022.92,43367.47,0.009068,393.46955316,0,0,0
2022-04-08T13:00:00+00:00Z,2022-04-08T14:00:00+00:00Z,43367.47,43367.47,42601.44,43138.47,0.009647,414.1850671,0,0,0
2022-04-08T14:00:00+00:00Z,2022-04-08T15:00:00+00:00Z,43138.47,43995.94,42670.0,43995.94,0.007968,345.39899595,0,0,0
2022-04-08T15:00:00+00:00Z,2022-04-08T16:00:00+00:00Z,43995.94,44180.82,43458.3,43464.16,0.009199,402.72220021,0,0,0
2022-04-08T16:00:00+00:00Z,2022-04-08T17:00:00+00:00Z,43464.16,44024.23,43260.36,43673.78,0.008441,367.93033498,0,0,0
2022-04-08T17:00:00+00:00Z,2022-04-08T18:00:00+00:00Z,43673.78,43742.32,42486.97,42799.17,0.0084,361.75870526,0,0,0
2022-04-08T18:00:00+00:00Z,2022-04-08T19:00:00+00:00Z,42799.17,43085.29,42431.91,42979.84,0.007899,337.41846521,0,0,0
2022-04-08T19:00:00+00:00Z,2022-04-08T20:00:00+00:00Z,42979.84,43148.34,42523.24,42781.86,0.007558,323.79677376,0,0,0
2022-04-08T20:00:00+00:00Z,2022-04-08T21:00:00+00:00Z,42781.86,42893.92,42404.9,42603.99,0.009592,409.16719966,0,0,0
2022-04-08T21:00:00+00:00Z,2022-04-08T22:00:00+00:00Z,42603.99,42916.36,42320.03,42390.27,0.009913,422.70745274,0,0,0
2022-04-08T22:00:00+00:00Z,2022-04-08T23:00:00+00:00Z,42390.27,42690.47,42017.44,42067.97,0.008504,360.06091747,0,0,0
2022-04-08T23:00:00+00:00Z,2022-04-09T00:00:00+00:00Z,42067.97,42351.18,41692.28,42326.07,0.007892,332.60948718,0,0,0
2022-04-09T00:00:00+00:00Z,2022-04-09T01:00:00+00:00Z,42326.07,42577.02,41994.88,42180.84,0.007335,310.20392316,0,0,0
2022-04-09T01:00:00+00:00Z,2022-04-09T02:00:00+00:00Z,42180.84,42552.69,42084.28,42190.6,0.008424,356.0731238,0,0,0
2022-04-09T02:00:00+00:00Z,2022-04-09T03:00:00+00:00Z,42190.6,42471.03,41902.09,42250.5,0.01003,423.89648909,0,0,0
2022-04-09T03:00:00+00:00Z,2022-04-09T04:00:00+00:00Z,42250.5,42466.0,41907.76,42466.0,0.007914,333.69516802,0,0,0
2022-04-09T04:00:00+00:00Z,2022-04-09T05:00:00+00:00Z,42466.0,42542.1,41979.22,42229.06,0.009246,391.06809768,0,0,0
2022-04-09T05:00:00+00:00Z,2022-04-09T06:00:00+00:00Z,42229.06,42557.46,42148.21,42371.94,0.010304,436.23077969,0,0,0
2022-04-09T06:00:00+00:00Z,2022-04-09T07:00:00+00:00Z,42371.94,42628.82,42200.99,42264.58,0.009331,396.00385436,0,0,0
2022-04-09T07:00:00+00:00Z,2022-04-09T08:00:00+00:00Z,42264.58,42523.96,42100.03,42185.13,0.00992,419.98128669,0,0,0
2022-04-09T08:00:00+00:00Z,2022-04-09T09:00:00+00:00Z,42185.13,42542.28,42100.03,42542.28,0.010642,450.02545987,0,0,0
2022-04-09T09:00:00+00:00Z,2022-04-09T10:00:00+00:00Z,42542.28,42542.28,42150.03,42264.55,0.009986,422.86732622,0,0,0
2022-04-09T10:00:00+00:00Z,2022-04-09T11:00:00+00:00Z,42264.55,42545.68,42200.03,42200.03,0.009626,407.93134848,0,0,0
2022-04-09T11:00:00+00:00Z,2022-04-09T12:00:00+00:00Z,42200.03,42583.64,42200.03,42503.77,0.009383,397.76285084,0,0,0
2022-04-09T12:00:00+00:00Z,2022-04-09T13:00:00+00:00Z,42503.77,42567.41,42243.7,42321.63,0.009022,382.38583165,0,0,0
2022-04-09T13:00:00+00:00Z,2022-04-09T14:00:00+00:00Z,42321.63,42576.86,42042.72,42232.83,0.00869,367.98719463,0,0,0
2022-04-09T14:00:00+00:00Z,2022-04-09T15:00:00+00:00Z,42232.83,42559.94,42021.55,42505.56,0.009278,392.51698316,0,0,0
2022-04-09T15:00:00+00:00Z,2022-04-09T16:00:00+00:00Z,42505.56,42525.63,41932.76,41932.76,0.007522,317.56848524,0,0,0
2022-04-09T16:00:00+00:00Z,2022-04-09T17:00:00+00:00Z,41932.76,42643.0,41932.76,42225.48,0.008121,343.11491591,0,0,0
2022-04-09T17:00:00+00:00Z,2022-04-09T18:00:00+00:00Z,42225.48,42882.44,42037.96,42749.14,0.009868,420.03748741,0,0,0
2022-04-09T18:00:00+00:00Z,2022-04-09T19:00:00+00:00Z,42749.14,42855.28,42127.25,42687.85,0.010166,431.96339717,0,0,0
2022-04-09T19:00:00+00:00Z,2022-04-09T20:00:00+00:00Z,42687.85,42843.7,42035.14,42731.89,0.009281,394.85357789,0,0,0
2022-04-09T20:00:00+00:00Z,2022-04-09T21:00:00+00:00Z,42731.89,43194.13,41974.55,41974.55,0.009379,399.01551427,0,0,0
2022-04-09T21:00:00+00:00Z,2022-04-09T22:00:00+00:00Z,41974.55,43183.87,41974.55,42380.41,0.010173,431.93898698,0,0,0
2022-04-09T22:00:00+00:00Z,2022-04-09T23:00:00+00:00Z,42380.41,43178.87,42095.1,42745.19,0.009514,404.7848397,0,0,0
2022-04-09T23:00:00+00:00Z,2022-04-10T00:00:00+00:00Z,42745.19,43103.72,42130.36,42484.2,0.009299,395.99476158,0,0,0
2022-04-10T00:00:00+00:00Z,2022-04-10T01:00:00+00:00Z,42484.2,43195.75,42311.65,42883.47,0.009793,418.51006569,0,0,0
2022-04-10T01:00:00+00:00Z,2022-04-10T02:00:00+00:00Z,42883.47,43231.82,42028.67,43122.11,0.010616,453.02539172,0,0,0
2022-04-10T02:00:00+00:00Z,2022-04-10T03:00:00+00:00Z,43122.11,43272.87,42336.88,42594.64,0.009601,410.16138096,0,0,0
2022-04-10T03:00:00+00:00Z,2022-04-10T04:00:00+00:00Z,42594.64,43250.98,42331.75,42575.07,0.010262,439.49394512,0,0,0
2022-04-10T04:00:00+00:00Z,2022-04-10T05:00:00+00:00Z,42575.07,43181.86,42400.91,43049.52,0.00993,424.91402256,0,0,0
