# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ZENUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-12-16T11:00:00+00:00Z
# t0_final_iso,2021-12-16T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,b104eaee6bd8832e
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-12-16T11:00:00+00:00Z,2021-12-16T12:00:00+00:00Z,71.411,71.802,70.2735,70.9688,39.168,2787.9725639,0,0,0
2021-12-16T12:00:00+00:00Z,2021-12-16T13:00:00+00:00Z,70.9688,71.018,66.177,70.128,43.739,3055.5572869,0,0,0
2021-12-16T13:00:00+00:00Z,2021-12-16T14:00:00+00:00Z,70.128,70.5384,68.9496,69.854,35.7,2483.2598901,0,0,0
2021-12-16T14:00:00+00:00Z,2021-12-16T15:00:00+00:00Z,69.854,69.854,68.4808,68.975,41.175,2840.1258889,0,0,0
2021-12-16T15:00:00+00:00Z,2021-12-16T16:00:00+00:00Z,68.975,69.5446,68.1517,69.109,51.796,3566.0813099,0,0,0
2021-12-16T16:00:00+00:00Z,2021-12-16T17:00:00+00:00Z,69.109,69.2169,68.3332,68.9775,45.181,3105.6181041,0,0,0
2021-12-16T17:00:00+00:00Z,2021-12-16T18:00:00+00:00Z,68.9775,69.0865,68.1629,68.6598,40.522,2783.4750952,0,0,0
2021-12-16T18:00:00+00:00Z,2021-12-16T19:00:00+00:00Z,68.6598,69.9999,68.4432,69.041,37.03,2558.5916973,0,0,0
2021-12-16T19:00:00+00:00Z,2021-12-16T20:00:00+00:00Z,69.041,70.2,68.8705,68.8705,37.782,2627.8052451,0,0,0
2021-12-16T20:00:00+00:00Z,2021-12-16T21:00:00+00:00Z,68.8705,70.792,68.8705,69.9466,43.464,3044.7314353,0,0,0
2021-12-16T21:00:00+00:00Z,2021-12-16T22:00:00+00:00Z,69.9466,70.4682,69.5399,69.6098,37.777,2644.0231207,0,0,0
2021-12-16T22:00:00+00:00Z,2021-12-16T23:00:00+00:00Z,69.6098,69.6298,67.2029,68.6446,38.691,2639.3882841,0,0,0
2021-12-16T23:00:00+00:00Z,2021-12-17T00:00:00+00:00Z,68.6446,69.2963,67.297,67.7717,38.079,2594.3299155,0,0,0
2021-12-17T00:00:00+00:00Z,2021-12-17T01:00:00+00:00Z,67.7717,68.8225,67.3872,68.2839,43.184,2944.2090658,0,0,0
2021-12-17T01:00:00+00:00Z,2021-12-17T02:00:00+00:00Z,68.2839,68.7726,67.6852,68.001,44.622,3048.1308177,0,0,0
2021-12-17T02:00:00+00:00Z,2021-12-17T03:00:00+00:00Z,68.001,68.8237,67.1964,68.8237,42.98,2912.9173215,0,0,0
2021-12-17T03:00:00+00:00Z,2021-12-17T04:00:00+00:00Z,68.8237,69.11,67.8112,68.3907,45.549,3120.230514,0,0,0
2021-12-17T04:00:00+00:00Z,2021-12-17T05:00:00+00:00Z,68.3907,69.0861,68.2933,68.8656,42.618,2926.7154634,0,0,0
2021-12-17T05:00:00+00:00Z,2021-12-17T06:00:00+00:00Z,68.8656,69.3476,67.7316,68.0802,35.341,2424.4984829,0,0,0
2021-12-17T06:00:00+00:00Z,2021-12-17T07:00:00+00:00Z,68.0802,68.873,67.0619,67.3874,42.126,2861.4902233,0,0,0
2021-12-17T07:00:00+00:00Z,2021-12-17T08:00:00+00:00Z,67.3874,67.3874,65.4401,66.3661,47.449,3133.1738172,0,0,0
2021-12-17T08:00:00+00:00Z,2021-12-17T09:00:00+00:00Z,66.3661,68.5127,66.0232,68.25,43.811,2949.243226,0,0,0
2021-12-17T09:00:00+00:00Z,2021-12-17T10:00:00+00:00Z,68.25,68.3872,67.1176,68.1191,39.386,2670.6025229,0,0,0
2021-12-17T10:00:00+00:00Z,2021-12-17T11:00:00+00:00Z,68.1191,68.1191,66.2195,66.9418,45.332,3041.6968412,0,0,0
2021-12-17T11:00:00+00:00Z,2021-12-17T12:00:00+00:00Z,66.9418,67.738,66.2711,66.6722,40.384,2704.6427545,0,0,0
2021-12-17T12:00:00+00:00Z,2021-12-17T13:00:00+00:00Z,66.6722,67.4571,66.1809,66.9925,41.727,2789.4576871,0,0,0
2021-12-17T13:00:00+00:00Z,2021-12-17T14:00:00+00:00Z,66.9925,71.589,66.9698,68.1397,39.909,2748.3466194,0,0,0
2021-12-17T14:00:00+00:00Z,2021-12-17T15:00:00+00:00Z,68.1397,68.1397,63.5481,64.9549,49.893,3275.279442,0,0,0
2021-12-17T15:00:00+00:00Z,2021-12-17T16:00:00+00:00Z,64.9549,66.6821,63.8591,66.4864,46.558,3035.272609,0,0,0
2021-12-17T16:00:00+00:00Z,2021-12-17T17:00:00+00:00Z,66.4864,71.5821,65.7681,68.0782,63.211,4268.593991,0,0,0
2021-12-17T17:00:00+00:00Z,2021-12-17T18:00:00+00:00Z,68.0782,68.154,65.9247,66.35,44.863,3005.6472901,0,0,0
2021-12-17T18:00:00+00:00Z,2021-12-17T19:00:00+00:00Z,66.35,67.0526,65.8195,66.6817,42.935,2844.2094557,0,0,0
2021-12-17T19:00:00+00:00Z,2021-12-17T20:00:00+00:00Z,66.6817,67.0553,65.5115,65.9049,38.829,2574.8849108,0,0,0
2021-12-17T20:00:00+00:00Z,2021-12-17T21:00:00+00:00Z,65.9049,66.0874,64.7799,64.9794,37.764,2467.1155465,0,0,0
2021-12-17T21:00:00+00:00Z,2021-12-17T22:00:00+00:00Z,64.9794,66.7876,64.5308,66.4838,42.418,2794.9998557,0,0,0
2021-12-17T22:00:00+00:00Z,2021-12-17T23:00:00+00:00Z,66.4838,66.6566,63.983,66.5535,44.799,2938.6129865,0,0,0
2021-12-17T23:00:00+00:00Z,2021-12-18T00:00:00+00:00Z,66.5535,66.6088,65.6307,65.933,42.692,2824.1436671,0,0,0
2021-12-18T00:00:00+00:00Z,2021-12-18T01:00:00+00:00Z,65.933,67.351,64.893,67.351,45.152,2974.7005717,0,0,0
2021-12-18T01:00:00+00:00Z,2021-12-18T02:00:00+00:00Z,67.351,67.507,64.7831,65.2144,41.356,2709.7019148,0,0,0
2021-12-18T02:00:00+00:00Z,2021-12-18T03:00:00+00:00Z,65.2144,65.9466,64.2153,64.3252,47.063,3072.8321567,0,0,0
