# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ZKCUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-09-15T14:00:00+00:00Z
# t0_final_iso,2025-09-15T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,5f2802b9cb1ce0a1
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-09-15T14:00:00+00:00Z,2025-09-15T15:00:00+00:00Z,0.2,1.774,0.2,1.2053,4992135.4,6757085.75385,0,0,0
2025-09-15T15:00:00+00:00Z,2025-09-15T16:00:00+00:00Z,1.2053,1.2544,1.0277,1.0418,6463541.7,7457358.22535,0,0,0
2025-09-15T16:00:00+00:00Z,2025-09-15T17:00:00+00:00Z,1.0418,1.0476,0.8809,0.8947,6393858.0,6064582.39782,0,0,0
2025-09-15T17:00:00+00:00Z,2025-09-15T18:00:00+00:00Z,0.8947,0.9724,0.8437,0.9323,4283510.1,3830014.03668,0,0,0
2025-09-15T18:00:00+00:00Z,2025-09-15T19:00:00+00:00Z,0.9323,0.9324,0.8841,0.9224,4180662.7,3813272.64505,0,0,0
2025-09-15T19:00:00+00:00Z,2025-09-15T20:00:00+00:00Z,0.9224,0.9404,0.8679,0.8982,5900679.7,5300319.63245,0,0,0
2025-09-15T20:00:00+00:00Z,2025-09-15T21:00:00+00:00Z,0.8982,0.9325,0.8911,0.9316,2165112.1,1968651.63152,0,0,0
2025-09-15T21:00:00+00:00Z,2025-09-15T22:00:00+00:00Z,0.9316,0.9919,0.9221,0.955,1775009.0,1695441.40427,0,0,0
2025-09-15T22:00:00+00:00Z,2025-09-15T23:00:00+00:00Z,0.955,0.957,0.9261,0.9364,1841855.4,1732854.60201,0,0,0
2025-09-15T23:00:00+00:00Z,2025-09-16T00:00:00+00:00Z,0.9364,0.9567,0.9279,0.9382,568735.5,535690.27703,0,0,0
2025-09-16T00:00:00+00:00Z,2025-09-16T01:00:00+00:00Z,0.9382,0.951,0.8969,0.9227,381181.0,351942.42247,0,0,0
2025-09-16T01:00:00+00:00Z,2025-09-16T02:00:00+00:00Z,0.9227,0.9465,0.9068,0.9191,370776.9,343378.89974,0,0,0
2025-09-16T02:00:00+00:00Z,2025-09-16T03:00:00+00:00Z,0.9191,0.9288,0.8768,0.8823,1145742.6,1041870.02483,0,0,0
2025-09-16T03:00:00+00:00Z,2025-09-16T04:00:00+00:00Z,0.8823,0.8949,0.8664,0.8798,1096384.6,964565.07962,0,0,0
2025-09-16T04:00:00+00:00Z,2025-09-16T05:00:00+00:00Z,0.8798,0.884,0.8544,0.8743,468335.1,408291.16798,0,0,0
2025-09-16T05:00:00+00:00Z,2025-09-16T06:00:00+00:00Z,0.8743,0.8857,0.8603,0.8711,447081.4,390005.12317,0,0,0
2025-09-16T06:00:00+00:00Z,2025-09-16T07:00:00+00:00Z,0.8711,0.884,0.8572,0.8691,768280.7,667587.17102,0,0,0
2025-09-16T07:00:00+00:00Z,2025-09-16T08:00:00+00:00Z,0.8691,0.8868,0.8667,0.8852,441402.4,386727.23189,0,0,0
2025-09-16T08:00:00+00:00Z,2025-09-16T09:00:00+00:00Z,0.8852,0.9084,0.8824,0.8888,736097.1,658906.67655,0,0,0
2025-09-16T09:00:00+00:00Z,2025-09-16T10:00:00+00:00Z,0.8888,0.8935,0.8127,0.8244,785955.7,669639.67429,0,0,0
2025-09-16T10:00:00+00:00Z,2025-09-16T11:00:00+00:00Z,0.8244,0.8423,0.7846,0.7944,1562349.3,1266909.59522,0,0,0
2025-09-16T11:00:00+00:00Z,2025-09-16T12:00:00+00:00Z,0.7944,0.8124,0.7765,0.7966,771560.3,614144.16897,0,0,0
2025-09-16T12:00:00+00:00Z,2025-09-16T13:00:00+00:00Z,0.7966,0.8242,0.7854,0.8157,893468.2,719592.76244,0,0,0
2025-09-16T13:00:00+00:00Z,2025-09-16T14:00:00+00:00Z,0.8157,0.819,0.7839,0.8008,1774324.1,1425422.05148,0,0,0
2025-09-16T14:00:00+00:00Z,2025-09-16T15:00:00+00:00Z,0.8008,0.8109,0.7872,0.8055,762641.3,611245.69557,0,0,0
2025-09-16T15:00:00+00:00Z,2025-09-16T16:00:00+00:00Z,0.8055,0.8055,0.7587,0.7684,1840696.1,1443760.8299,0,0,0
2025-09-16T16:00:00+00:00Z,2025-09-16T17:00:00+00:00Z,0.7684,0.7719,0.7339,0.7513,1173560.9,881268.72672,0,0,0
2025-09-16T17:00:00+00:00Z,2025-09-16T18:00:00+00:00Z,0.7513,0.7711,0.7451,0.7602,417475.5,318006.43582,0,0,0
2025-09-16T18:00:00+00:00Z,2025-09-16T19:00:00+00:00Z,0.7602,0.7757,0.7544,0.7683,176213.1,135555.32506,0,0,0
2025-09-16T19:00:00+00:00Z,2025-09-16T20:00:00+00:00Z,0.7683,0.7886,0.7657,0.7834,592628.6,461738.74855,0,0,0
2025-09-16T20:00:00+00:00Z,2025-09-16T21:00:00+00:00Z,0.7834,0.7921,0.7724,0.786,236307.3,184968.08715,0,0,0
2025-09-16T21:00:00+00:00Z,2025-09-16T22:00:00+00:00Z,0.786,0.8008,0.78,0.7821,422595.6,333476.22254,0,0,0
2025-09-16T22:00:00+00:00Z,2025-09-16T23:00:00+00:00Z,0.7821,0.7922,0.7783,0.7819,272302.6,213837.8411,0,0,0
2025-09-16T23:00:00+00:00Z,2025-09-17T00:00:00+00:00Z,0.7819,0.8108,0.7788,0.8058,566752.3,447907.77242,0,0,0
2025-09-17T00:00:00+00:00Z,2025-09-17T01:00:00+00:00Z,0.8058,0.8254,0.7576,0.7685,833473.9,661166.96084,0,0,0
2025-09-17T01:00:00+00:00Z,2025-09-17T02:00:00+00:00Z,0.7685,0.7749,0.7542,0.7656,399879.8,306362.35877,0,0,0
2025-09-17T02:00:00+00:00Z,2025-09-17T03:00:00+00:00Z,0.7656,0.7717,0.7472,0.7614,429413.4,325919.56511,0,0,0
2025-09-17T03:00:00+00:00Z,2025-09-17T04:00:00+00:00Z,0.7614,0.7665,0.7424,0.7523,406846.0,306448.87033,0,0,0
2025-09-17T04:00:00+00:00Z,2025-09-17T05:00:00+00:00Z,0.7523,0.7562,0.7442,0.75,317542.9,238191.43563,0,0,0
2025-09-17T05:00:00+00:00Z,2025-09-17T06:00:00+00:00Z,0.75,0.7602,0.7375,0.7497,554379.7,415176.00082,0,0,0
2025-09-17T06:00:00+00:00Z,2025-09-17T07:00:00+00:00Z,0.7497,0.7516,0.7144,0.7296,645842.8,470301.55154,0,0,0
2025-09-17T07:00:00+00:00Z,2025-09-17T08:00:00+00:00Z,0.7296,0.7401,0.724,0.7333,313401.5,229420.35577,0,0,0
2025-09-17T08:00:00+00:00Z,2025-09-17T09:00:00+00:00Z,0.7333,0.735,0.7156,0.7221,363739.4,263222.5715,0,0,0
2025-09-17T09:00:00+00:00Z,2025-09-17T10:00:00+00:00Z,0.7221,0.7358,0.7203,0.7319,444879.1,323301.78863,0,0,0
2025-09-17T10:00:00+00:00Z,2025-09-17T11:00:00+00:00Z,0.7319,0.7381,0.719,0.7221,464149.3,337370.64302,0,0,0
2025-09-17T11:00:00+00:00Z,2025-09-17T12:00:00+00:00Z,0.7221,0.7364,0.721,0.7311,5304654.2,3887341.34663,0,0,0
2025-09-17T12:00:00+00:00Z,2025-09-17T13:00:00+00:00Z,0.7311,0.7384,0.7241,0.7289,1340937.7,980509.08812,0,0,0
2025-09-17T13:00:00+00:00Z,2025-09-17T14:00:00+00:00Z,0.7289,0.7418,0.7257,0.7372,515013.1,377607.67713,0,0,0
2025-09-17T14:00:00+00:00Z,2025-09-17T15:00:00+00:00Z,0.7372,0.7476,0.7349,0.7377,360533.3,267081.53833,0,0,0
2025-09-17T15:00:00+00:00Z,2025-09-17T16:00:00+00:00Z,0.7377,0.76,0.7374,0.7473,531458.5,397578.67068,0,0,0
2025-09-17T16:00:00+00:00Z,2025-09-17T17:00:00+00:00Z,0.7473,0.7663,0.7353,0.7662,360309.7,270860.8736,0,0,0
2025-09-17T17:00:00+00:00Z,2025-09-17T18:00:00+00:00Z,0.7662,0.7688,0.7212,0.7294,346661.3,260319.4906,0,0,0
2025-09-17T18:00:00+00:00Z,2025-09-17T19:00:00+00:00Z,0.7294,0.753,0.7271,0.7441,745296.3,556406.97647,0,0,0
2025-09-17T19:00:00+00:00Z,2025-09-17T20:00:00+00:00Z,0.7441,0.7623,0.7441,0.7589,174882.5,132270.53515,0,0,0
2025-09-17T20:00:00+00:00Z,2025-09-17T21:00:00+00:00Z,0.7589,0.7661,0.746,0.7472,250842.1,190269.62588,0,0,0
2025-09-17T21:00:00+00:00Z,2025-09-17T22:00:00+00:00Z,0.7472,0.761,0.74,0.7539,162279.6,121810.00812,0,0,0
2025-09-17T22:00:00+00:00Z,2025-09-17T23:00:00+00:00Z,0.7539,0.7678,0.7522,0.7652,144276.9,109368.09421,0,0,0
2025-09-17T23:00:00+00:00Z,2025-09-18T00:00:00+00:00Z,0.7652,0.7795,0.762,0.7735,296991.7,228681.66755,0,0,0
2025-09-18T00:00:00+00:00Z,2025-09-18T01:00:00+00:00Z,0.7735,0.7907,0.7529,0.7583,414413.9,318665.92127,0,0,0
2025-09-18T01:00:00+00:00Z,2025-09-18T02:00:00+00:00Z,0.7583,0.8018,0.7511,0.7767,745529.2,581606.04917,0,0,0
2025-09-18T02:00:00+00:00Z,2025-09-18T03:00:00+00:00Z,0.7767,0.7947,0.7679,0.7782,1029849.0,804241.7981,0,0,0
2025-09-18T03:00:00+00:00Z,2025-09-18T04:00:00+00:00Z,0.7782,0.7945,0.7741,0.7895,329714.3,259210.79343,0,0,0
2025-09-18T04:00:00+00:00Z,2025-09-18T05:00:00+00:00Z,0.7895,0.7933,0.7774,0.781,370568.6,290725.19331,0,0,0
2025-09-18T05:00:00+00:00Z,2025-09-18T06:00:00+00:00Z,0.781,0.7986,0.7762,0.7937,523031.6,412903.36414,0,0,0
2025-09-18T06:00:00+00:00Z,2025-09-18T07:00:00+00:00Z,0.7937,0.7947,0.7683,0.7726,542356.1,421522.15021,0,0,0
2025-09-18T07:00:00+00:00Z,2025-09-18T08:00:00+00:00Z,0.7726,0.7804,0.7635,0.764,653624.9,505770.65723,0,0,0
2025-09-18T08:00:00+00:00Z,2025-09-18T09:00:00+00:00Z,0.764,0.7747,0.7562,0.7724,343271.1,262695.84196,0,0,0
2025-09-18T09:00:00+00:00Z,2025-09-18T10:00:00+00:00Z,0.7724,0.7799,0.7693,0.7701,266483.9,206458.75465,0,0,0
2025-09-18T10:00:00+00:00Z,2025-09-18T11:00:00+00:00Z,0.7701,0.7745,0.7474,0.7531,400176.5,303537.2142,0,0,0
2025-09-18T11:00:00+00:00Z,2025-09-18T12:00:00+00:00Z,0.7531,0.7567,0.7436,0.7447,353222.6,265243.59076,0,0,0
2025-09-18T12:00:00+00:00Z,2025-09-18T13:00:00+00:00Z,0.7447,0.7564,0.7437,0.7491,341988.8,256860.21407,0,0,0
2025-09-18T13:00:00+00:00Z,2025-09-18T14:00:00+00:00Z,0.7491,0.753,0.7433,0.7496,412189.9,308401.68709,0,0,0
